            Interval               Theta              Radial            Vertical
                   0                   0                   0              3.8997
                   0                   0                   0              3.8997
                   1           0.0317333           0.0317279              3.8992
                   2           0.0634665           0.0634239             3.89769
                   3           0.0951998            0.095056             3.89517
                   4            0.126933            0.126592             3.89166
                   5            0.158666            0.158001             3.88714
                   6              0.1904            0.189251             3.88163
                   7            0.222133            0.220311             3.87513
                   8            0.253866            0.251148             3.86765
                   9            0.285599            0.281733             3.85919
                  10            0.317333            0.312033             3.84977
                  11            0.349066             0.34202             3.83939
                  12            0.380799            0.371662             3.82807
                  13            0.412532            0.400931             3.81581
                  14            0.444266            0.429795             3.80263
                  15            0.475999            0.458227             3.78854
                  16            0.507732            0.486197             3.77355
                  17            0.539465            0.513677             3.75769
                  18            0.571199            0.540641             3.74096
                  19            0.602932             0.56706             3.72338
                  20            0.634665            0.592908             3.70497
                  21            0.666398            0.618159             3.68575
                  22            0.698132            0.642788             3.66575
                  23            0.729865            0.666769             3.64497
                  24            0.761598            0.690079             3.62344
                  25            0.793331            0.712694             3.60118
                  26            0.825065            0.734592             3.57821
                  27            0.856798             0.75575             3.55456
                  28            0.888531            0.776146             3.53025
                  29            0.920265            0.795762             3.50531
                  30            0.951998            0.814576             3.47976
                  31            0.983731             0.83257             3.45362
                  32             1.01546            0.849725             3.42693
                  33              1.0472            0.866025              3.3997
                  34             1.07893            0.881453             3.37197
                  35             1.11066            0.895994             3.34377
                  36              1.1424            0.909632             3.31512
                  37             1.17413            0.922354             3.28605
                  38             1.20586            0.934148             3.25659
                  39              1.2376            0.945001             3.22677
                  40             1.26933            0.954902             3.19662
                  41             1.30106            0.963842             3.16618
                  42              1.3328            0.971812             3.13546
                  43             1.36453            0.978802             3.10451
                  44             1.39626            0.984808             3.07335
                  45               1.428            0.989821             3.04202
                  46             1.45973            0.993838             3.01054
                  47             1.49146            0.996855             2.97895
                  48              1.5232            0.998867             2.94728
                  49             1.55493            0.999874             2.91557
                  50             1.58666            0.999874             2.88384
                  51              1.6184            0.998867             2.85212
                  52             1.65013            0.996855             2.82045
                  53             1.68186            0.993838             2.78886
                  54              1.7136            0.989821             2.75739
                  55             1.74533            0.984808             2.72605
                  56             1.77706            0.978802             2.69489
                  57              1.8088            0.971812             2.66394
                  58             1.84053            0.963842             2.63323
                  59             1.87226            0.954902             2.60278
                  60               1.904            0.945001             2.57263
                  61             1.93573            0.934148             2.54282
                  62             1.96746            0.922354             2.51336
                  63              1.9992            0.909632             2.48429
                  64             2.03093            0.895994             2.45564
                  65             2.06266            0.881453             2.42743
                  66              2.0944            0.866025              2.3997
                  67             2.12613            0.849725             2.37248
                  68             2.15786             0.83257             2.34578
                  69             2.18959            0.814576             2.31964
                  70             2.22133            0.795762             2.29409
                  71             2.25306            0.776146             2.26915
                  72             2.28479             0.75575             2.24484
                  73             2.31653            0.734592             2.22119
                  74             2.34826            0.712694             2.19823
                  75             2.37999            0.690079             2.17597
                  76             2.41173            0.666769             2.15444
                  77             2.44346            0.642788             2.13366
                  78             2.47519            0.618159             2.11365
                  79             2.50693            0.592908             2.09443
                  80             2.53866             0.56706             2.07603
                  81             2.57039            0.540641             2.05845
                  82             2.60213            0.513677             2.04172
                  83             2.63386            0.486197             2.02585
                  84             2.66559            0.458227             2.01087
                  85             2.69733            0.429795             1.99678
                  86             2.72906            0.400931             1.98359
                  87             2.76079            0.371662             1.97133
                  88             2.79253             0.34202             1.96001
                  89             2.82426            0.312033             1.94963
                  90             2.85599            0.281733             1.94021
                  91             2.88773            0.251148             1.93175
                  92             2.91946            0.220311             1.92427
                  93             2.95119            0.189251             1.91777
                  94             2.98293            0.158001             1.91226
                  95             3.01466            0.126592             1.90775
                  96             3.04639            0.095056             1.90423
                  97             3.07813           0.0634239             1.90171
                  98             3.10986           0.0317279             1.90021
                  99             3.14159                   0              1.8997
