            Interval               Theta              Radial            Vertical
                   0                   0                   0             2.07746
                   0                   0                   0             2.07746
                   1           0.0317333           0.0317279             2.07695
                   2           0.0634665           0.0634239             2.07544
                   3           0.0951998            0.095056             2.07293
                   4            0.126933            0.126592             2.06941
                   5            0.158666            0.158001              2.0649
                   6              0.1904            0.189251             2.05939
                   7            0.222133            0.220311             2.05289
                   8            0.253866            0.251148             2.04541
                   9            0.285599            0.281733             2.03695
                  10            0.317333            0.312033             2.02753
                  11            0.349066             0.34202             2.01715
                  12            0.380799            0.371662             2.00583
                  13            0.412532            0.400931             1.99357
                  14            0.444266            0.429795             1.98038
                  15            0.475999            0.458227             1.96629
                  16            0.507732            0.486197             1.95131
                  17            0.539465            0.513677             1.93544
                  18            0.571199            0.540641             1.91871
                  19            0.602932             0.56706             1.90113
                  20            0.634665            0.592908             1.88273
                  21            0.666398            0.618159             1.86351
                  22            0.698132            0.642788              1.8435
                  23            0.729865            0.666769             1.82272
                  24            0.761598            0.690079             1.80119
                  25            0.793331            0.712694             1.77893
                  26            0.825065            0.734592             1.75597
                  27            0.856798             0.75575             1.73232
                  28            0.888531            0.776146             1.70801
                  29            0.920265            0.795762             1.68307
                  30            0.951998            0.814576             1.65751
                  31            0.983731             0.83257             1.63138
                  32             1.01546            0.849725             1.60468
                  33              1.0472            0.866025             1.57746
                  34             1.07893            0.881453             1.54973
                  35             1.11066            0.895994             1.52152
                  36              1.1424            0.909632             1.49287
                  37             1.17413            0.922354              1.4638
                  38             1.20586            0.934148             1.43434
                  39              1.2376            0.945001             1.40453
                  40             1.26933            0.954902             1.37438
                  41             1.30106            0.963842             1.34393
                  42              1.3328            0.971812             1.31322
                  43             1.36453            0.978802             1.28226
                  44             1.39626            0.984808             1.25111
                  45               1.428            0.989821             1.21977
                  46             1.45973            0.993838              1.1883
                  47             1.49146            0.996855             1.15671
                  48              1.5232            0.998867             1.12504
                  49             1.55493            0.999874             1.09332
                  50             1.58666            0.999874             1.06159
                  51              1.6184            0.998867             1.02988
                  52             1.65013            0.996855            0.998207
                  53             1.68186            0.993838            0.966619
                  54              1.7136            0.989821            0.935143
                  55             1.74533            0.984808            0.903809
                  56             1.77706            0.978802            0.872651
                  57              1.8088            0.971812            0.841698
                  58             1.84053            0.963842            0.810984
                  59             1.87226            0.954902            0.780537
                  60               1.904            0.945001            0.750389
                  61             1.93573            0.934148            0.720571
                  62             1.96746            0.922354            0.691112
                  63              1.9992            0.909632            0.662042
                  64             2.03093            0.895994            0.633391
                  65             2.06266            0.881453            0.605186
                  66              2.0944            0.866025            0.577457
                  67             2.12613            0.849725            0.550232
                  68             2.15786             0.83257            0.523537
                  69             2.18959            0.814576            0.497401
                  70             2.22133            0.795762            0.471848
                  71             2.25306            0.776146            0.446905
                  72             2.28479             0.75575            0.422597
                  73             2.31653            0.734592            0.398948
                  74             2.34826            0.712694            0.375983
                  75             2.37999            0.690079            0.353723
                  76             2.41173            0.666769            0.332193
                  77             2.44346            0.642788            0.311413
                  78             2.47519            0.618159            0.291404
                  79             2.50693            0.592908            0.272187
                  80             2.53866             0.56706            0.253781
                  81             2.57039            0.540641            0.236204
                  82             2.60213            0.513677            0.219474
                  83             2.63386            0.486197            0.203608
                  84             2.66559            0.458227            0.188622
                  85             2.69733            0.429795            0.174531
                  86             2.72906            0.400931            0.161349
                  87             2.76079            0.371662            0.149089
                  88             2.79253             0.34202            0.137765
                  89             2.82426            0.312033            0.127386
                  90             2.85599            0.281733            0.117964
                  91             2.88773            0.251148            0.109509
                  92             2.91946            0.220311            0.102028
                  93             2.95119            0.189251           0.0955287
                  94             2.98293            0.158001           0.0900185
                  95             3.01466            0.126592           0.0855026
                  96             3.04639            0.095056           0.0819855
                  97             3.07813           0.0634239           0.0794708
                  98             3.10986           0.0317279           0.0779609
                  99             3.14159                   0           0.0774574
