            Interval               Theta              Radial            Vertical
                   0                   0                   0             2.03947
                   0                   0                   0             2.03947
                   1           0.0317333           0.0317279             2.03897
                   2           0.0634665           0.0634239             2.03746
                   3           0.0951998            0.095056             2.03495
                   4            0.126933            0.126592             2.03143
                   5            0.158666            0.158001             2.02691
                   6              0.1904            0.189251              2.0214
                   7            0.222133            0.220311              2.0149
                   8            0.253866            0.251148             2.00742
                   9            0.285599            0.281733             1.99897
                  10            0.317333            0.312033             1.98954
                  11            0.349066             0.34202             1.97917
                  12            0.380799            0.371662             1.96784
                  13            0.412532            0.400931             1.95558
                  14            0.444266            0.429795              1.9424
                  15            0.475999            0.458227             1.92831
                  16            0.507732            0.486197             1.91332
                  17            0.539465            0.513677             1.89746
                  18            0.571199            0.540641             1.88073
                  19            0.602932             0.56706             1.86315
                  20            0.634665            0.592908             1.84474
                  21            0.666398            0.618159             1.82553
                  22            0.698132            0.642788             1.80552
                  23            0.729865            0.666769             1.78474
                  24            0.761598            0.690079             1.76321
                  25            0.793331            0.712694             1.74095
                  26            0.825065            0.734592             1.71798
                  27            0.856798             0.75575             1.69433
                  28            0.888531            0.776146             1.67003
                  29            0.920265            0.795762             1.64508
                  30            0.951998            0.814576             1.61953
                  31            0.983731             0.83257             1.59339
                  32             1.01546            0.849725              1.5667
                  33              1.0472            0.866025             1.53947
                  34             1.07893            0.881453             1.51174
                  35             1.11066            0.895994             1.48354
                  36              1.1424            0.909632             1.45489
                  37             1.17413            0.922354             1.42582
                  38             1.20586            0.934148             1.39636
                  39              1.2376            0.945001             1.36654
                  40             1.26933            0.954902             1.33639
                  41             1.30106            0.963842             1.30595
                  42              1.3328            0.971812             1.27523
                  43             1.36453            0.978802             1.24428
                  44             1.39626            0.984808             1.21312
                  45               1.428            0.989821             1.18179
                  46             1.45973            0.993838             1.15031
                  47             1.49146            0.996855             1.11872
                  48              1.5232            0.998867             1.08706
                  49             1.55493            0.999874             1.05534
                  50             1.58666            0.999874             1.02361
                  51              1.6184            0.998867            0.991891
                  52             1.65013            0.996855            0.960223
                  53             1.68186            0.993838            0.928635
                  54              1.7136            0.989821            0.897158
                  55             1.74533            0.984808            0.865825
                  56             1.77706            0.978802            0.834666
                  57              1.8088            0.971812            0.803714
                  58             1.84053            0.963842            0.772999
                  59             1.87226            0.954902            0.742553
                  60               1.904            0.945001            0.712405
                  61             1.93573            0.934148            0.682587
                  62             1.96746            0.922354            0.653128
                  63              1.9992            0.909632            0.624058
                  64             2.03093            0.895994            0.595407
                  65             2.06266            0.881453            0.567202
                  66              2.0944            0.866025            0.539473
                  67             2.12613            0.849725            0.512248
                  68             2.15786             0.83257            0.485553
                  69             2.18959            0.814576            0.459416
                  70             2.22133            0.795762            0.433863
                  71             2.25306            0.776146             0.40892
                  72             2.28479             0.75575            0.384612
                  73             2.31653            0.734592            0.360964
                  74             2.34826            0.712694            0.337998
                  75             2.37999            0.690079            0.315739
                  76             2.41173            0.666769            0.294209
                  77             2.44346            0.642788            0.273429
                  78             2.47519            0.618159             0.25342
                  79             2.50693            0.592908            0.234203
                  80             2.53866             0.56706            0.215797
                  81             2.57039            0.540641             0.19822
                  82             2.60213            0.513677             0.18149
                  83             2.63386            0.486197            0.165624
                  84             2.66559            0.458227            0.150638
                  85             2.69733            0.429795            0.136547
                  86             2.72906            0.400931            0.123365
                  87             2.76079            0.371662            0.111105
                  88             2.79253             0.34202           0.0997805
                  89             2.82426            0.312033            0.089402
                  90             2.85599            0.281733           0.0799802
                  91             2.88773            0.251148           0.0715245
                  92             2.91946            0.220311           0.0640434
                  93             2.95119            0.189251           0.0575445
                  94             2.98293            0.158001           0.0520343
                  95             3.01466            0.126592           0.0475183
                  96             3.04639            0.095056           0.0440012
                  97             3.07813           0.0634239           0.0414865
                  98             3.10986           0.0317279           0.0399766
                  99             3.14159                   0           0.0394732
