            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.16082
                   0                   0                   0            -2.16082
                   1           0.0317333           0.0317279            -2.16132
                   2           0.0634665           0.0634239            -2.16283
                   3           0.0951998            0.095056            -2.16535
                   4            0.126933            0.126592            -2.16887
                   5            0.158666            0.158001            -2.17338
                   6              0.1904            0.189251            -2.17889
                   7            0.222133            0.220311            -2.18539
                   8            0.253866            0.251148            -2.19287
                   9            0.285599            0.281733            -2.20133
                  10            0.317333            0.312033            -2.21075
                  11            0.349066             0.34202            -2.22113
                  12            0.380799            0.371662            -2.23245
                  13            0.412532            0.400931            -2.24471
                  14            0.444266            0.429795            -2.25789
                  15            0.475999            0.458227            -2.27199
                  16            0.507732            0.486197            -2.28697
                  17            0.539465            0.513677            -2.30284
                  18            0.571199            0.540641            -2.31957
                  19            0.602932             0.56706            -2.33714
                  20            0.634665            0.592908            -2.35555
                  21            0.666398            0.618159            -2.37477
                  22            0.698132            0.642788            -2.39478
                  23            0.729865            0.666769            -2.41556
                  24            0.761598            0.690079            -2.43709
                  25            0.793331            0.712694            -2.45935
                  26            0.825065            0.734592            -2.48231
                  27            0.856798             0.75575            -2.50596
                  28            0.888531            0.776146            -2.53027
                  29            0.920265            0.795762            -2.55521
                  30            0.951998            0.814576            -2.58076
                  31            0.983731             0.83257             -2.6069
                  32             1.01546            0.849725             -2.6336
                  33              1.0472            0.866025            -2.66082
                  34             1.07893            0.881453            -2.68855
                  35             1.11066            0.895994            -2.71675
                  36              1.1424            0.909632            -2.74541
                  37             1.17413            0.922354            -2.77448
                  38             1.20586            0.934148            -2.80393
                  39              1.2376            0.945001            -2.83375
                  40             1.26933            0.954902             -2.8639
                  41             1.30106            0.963842            -2.89435
                  42              1.3328            0.971812            -2.92506
                  43             1.36453            0.978802            -2.95601
                  44             1.39626            0.984808            -2.98717
                  45               1.428            0.989821            -3.01851
                  46             1.45973            0.993838            -3.04998
                  47             1.49146            0.996855            -3.08157
                  48              1.5232            0.998867            -3.11324
                  49             1.55493            0.999874            -3.14495
                  50             1.58666            0.999874            -3.17669
                  51              1.6184            0.998867             -3.2084
                  52             1.65013            0.996855            -3.24007
                  53             1.68186            0.993838            -3.27166
                  54              1.7136            0.989821            -3.30314
                  55             1.74533            0.984808            -3.33447
                  56             1.77706            0.978802            -3.36563
                  57              1.8088            0.971812            -3.39658
                  58             1.84053            0.963842            -3.42729
                  59             1.87226            0.954902            -3.45774
                  60               1.904            0.945001            -3.48789
                  61             1.93573            0.934148            -3.51771
                  62             1.96746            0.922354            -3.54717
                  63              1.9992            0.909632            -3.57624
                  64             2.03093            0.895994            -3.60489
                  65             2.06266            0.881453            -3.63309
                  66              2.0944            0.866025            -3.66082
                  67             2.12613            0.849725            -3.68805
                  68             2.15786             0.83257            -3.71474
                  69             2.18959            0.814576            -3.74088
                  70             2.22133            0.795762            -3.76643
                  71             2.25306            0.776146            -3.79137
                  72             2.28479             0.75575            -3.81568
                  73             2.31653            0.734592            -3.83933
                  74             2.34826            0.712694             -3.8623
                  75             2.37999            0.690079            -3.88455
                  76             2.41173            0.666769            -3.90609
                  77             2.44346            0.642788            -3.92687
                  78             2.47519            0.618159            -3.94687
                  79             2.50693            0.592908            -3.96609
                  80             2.53866             0.56706             -3.9845
                  81             2.57039            0.540641            -4.00207
                  82             2.60213            0.513677             -4.0188
                  83             2.63386            0.486197            -4.03467
                  84             2.66559            0.458227            -4.04966
                  85             2.69733            0.429795            -4.06375
                  86             2.72906            0.400931            -4.07693
                  87             2.76079            0.371662            -4.08919
                  88             2.79253             0.34202            -4.10051
                  89             2.82426            0.312033            -4.11089
                  90             2.85599            0.281733            -4.12031
                  91             2.88773            0.251148            -4.12877
                  92             2.91946            0.220311            -4.13625
                  93             2.95119            0.189251            -4.14275
                  94             2.98293            0.158001            -4.14826
                  95             3.01466            0.126592            -4.15278
                  96             3.04639            0.095056            -4.15629
                  97             3.07813           0.0634239            -4.15881
                  98             3.10986           0.0317279            -4.16032
                  99             3.14159                   0            -4.16082
