            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.14122
                   0                   0                   0            -2.14122
                   1           0.0317333           0.0317279            -2.14172
                   2           0.0634665           0.0634239            -2.14323
                   3           0.0951998            0.095056            -2.14575
                   4            0.126933            0.126592            -2.14927
                   5            0.158666            0.158001            -2.15378
                   6              0.1904            0.189251            -2.15929
                   7            0.222133            0.220311            -2.16579
                   8            0.253866            0.251148            -2.17327
                   9            0.285599            0.281733            -2.18173
                  10            0.317333            0.312033            -2.19115
                  11            0.349066             0.34202            -2.20153
                  12            0.380799            0.371662            -2.21285
                  13            0.412532            0.400931            -2.22511
                  14            0.444266            0.429795            -2.23829
                  15            0.475999            0.458227            -2.25238
                  16            0.507732            0.486197            -2.26737
                  17            0.539465            0.513677            -2.28324
                  18            0.571199            0.540641            -2.29997
                  19            0.602932             0.56706            -2.31754
                  20            0.634665            0.592908            -2.33595
                  21            0.666398            0.618159            -2.35517
                  22            0.698132            0.642788            -2.37518
                  23            0.729865            0.666769            -2.39596
                  24            0.761598            0.690079            -2.41749
                  25            0.793331            0.712694            -2.43975
                  26            0.825065            0.734592            -2.46271
                  27            0.856798             0.75575            -2.48636
                  28            0.888531            0.776146            -2.51067
                  29            0.920265            0.795762            -2.53561
                  30            0.951998            0.814576            -2.56116
                  31            0.983731             0.83257             -2.5873
                  32             1.01546            0.849725            -2.61399
                  33              1.0472            0.866025            -2.64122
                  34             1.07893            0.881453            -2.66895
                  35             1.11066            0.895994            -2.69715
                  36              1.1424            0.909632            -2.72581
                  37             1.17413            0.922354            -2.75488
                  38             1.20586            0.934148            -2.78433
                  39              1.2376            0.945001            -2.81415
                  40             1.26933            0.954902             -2.8443
                  41             1.30106            0.963842            -2.87475
                  42              1.3328            0.971812            -2.90546
                  43             1.36453            0.978802            -2.93641
                  44             1.39626            0.984808            -2.96757
                  45               1.428            0.989821            -2.99891
                  46             1.45973            0.993838            -3.03038
                  47             1.49146            0.996855            -3.06197
                  48              1.5232            0.998867            -3.09364
                  49             1.55493            0.999874            -3.12535
                  50             1.58666            0.999874            -3.15709
                  51              1.6184            0.998867             -3.1888
                  52             1.65013            0.996855            -3.22047
                  53             1.68186            0.993838            -3.25206
                  54              1.7136            0.989821            -3.28354
                  55             1.74533            0.984808            -3.31487
                  56             1.77706            0.978802            -3.34603
                  57              1.8088            0.971812            -3.37698
                  58             1.84053            0.963842            -3.40769
                  59             1.87226            0.954902            -3.43814
                  60               1.904            0.945001            -3.46829
                  61             1.93573            0.934148            -3.49811
                  62             1.96746            0.922354            -3.52757
                  63              1.9992            0.909632            -3.55664
                  64             2.03093            0.895994            -3.58529
                  65             2.06266            0.881453            -3.61349
                  66              2.0944            0.866025            -3.64122
                  67             2.12613            0.849725            -3.66845
                  68             2.15786             0.83257            -3.69514
                  69             2.18959            0.814576            -3.72128
                  70             2.22133            0.795762            -3.74683
                  71             2.25306            0.776146            -3.77177
                  72             2.28479             0.75575            -3.79608
                  73             2.31653            0.734592            -3.81973
                  74             2.34826            0.712694             -3.8427
                  75             2.37999            0.690079            -3.86495
                  76             2.41173            0.666769            -3.88648
                  77             2.44346            0.642788            -3.90726
                  78             2.47519            0.618159            -3.92727
                  79             2.50693            0.592908            -3.94649
                  80             2.53866             0.56706             -3.9649
                  81             2.57039            0.540641            -3.98247
                  82             2.60213            0.513677             -3.9992
                  83             2.63386            0.486197            -4.01507
                  84             2.66559            0.458227            -4.03006
                  85             2.69733            0.429795            -4.04415
                  86             2.72906            0.400931            -4.05733
                  87             2.76079            0.371662            -4.06959
                  88             2.79253             0.34202            -4.08091
                  89             2.82426            0.312033            -4.09129
                  90             2.85599            0.281733            -4.10071
                  91             2.88773            0.251148            -4.10917
                  92             2.91946            0.220311            -4.11665
                  93             2.95119            0.189251            -4.12315
                  94             2.98293            0.158001            -4.12866
                  95             3.01466            0.126592            -4.13318
                  96             3.04639            0.095056            -4.13669
                  97             3.07813           0.0634239            -4.13921
                  98             3.10986           0.0317279            -4.14072
                  99             3.14159                   0            -4.14122
