            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.28506
                   0                   0                   0            -1.28506
                   1           0.0317333           0.0317279            -1.28556
                   2           0.0634665           0.0634239            -1.28707
                   3           0.0951998            0.095056            -1.28959
                   4            0.126933            0.126592             -1.2931
                   5            0.158666            0.158001            -1.29762
                   6              0.1904            0.189251            -1.30313
                   7            0.222133            0.220311            -1.30963
                   8            0.253866            0.251148            -1.31711
                   9            0.285599            0.281733            -1.32556
                  10            0.317333            0.312033            -1.33499
                  11            0.349066             0.34202            -1.34537
                  12            0.380799            0.371662            -1.35669
                  13            0.412532            0.400931            -1.36895
                  14            0.444266            0.429795            -1.38213
                  15            0.475999            0.458227            -1.39622
                  16            0.507732            0.486197            -1.41121
                  17            0.539465            0.513677            -1.42707
                  18            0.571199            0.540641             -1.4438
                  19            0.602932             0.56706            -1.46138
                  20            0.634665            0.592908            -1.47979
                  21            0.666398            0.618159              -1.499
                  22            0.698132            0.642788            -1.51901
                  23            0.729865            0.666769            -1.53979
                  24            0.761598            0.690079            -1.56132
                  25            0.793331            0.712694            -1.58358
                  26            0.825065            0.734592            -1.60655
                  27            0.856798             0.75575             -1.6302
                  28            0.888531            0.776146            -1.65451
                  29            0.920265            0.795762            -1.67945
                  30            0.951998            0.814576              -1.705
                  31            0.983731             0.83257            -1.73114
                  32             1.01546            0.849725            -1.75783
                  33              1.0472            0.866025            -1.78506
                  34             1.07893            0.881453            -1.81279
                  35             1.11066            0.895994            -1.84099
                  36              1.1424            0.909632            -1.86964
                  37             1.17413            0.922354            -1.89871
                  38             1.20586            0.934148            -1.92817
                  39              1.2376            0.945001            -1.95799
                  40             1.26933            0.954902            -1.98814
                  41             1.30106            0.963842            -2.01858
                  42              1.3328            0.971812             -2.0493
                  43             1.36453            0.978802            -2.08025
                  44             1.39626            0.984808            -2.11141
                  45               1.428            0.989821            -2.14274
                  46             1.45973            0.993838            -2.17422
                  47             1.49146            0.996855            -2.20581
                  48              1.5232            0.998867            -2.23748
                  49             1.55493            0.999874            -2.26919
                  50             1.58666            0.999874            -2.30092
                  51              1.6184            0.998867            -2.33264
                  52             1.65013            0.996855            -2.36431
                  53             1.68186            0.993838             -2.3959
                  54              1.7136            0.989821            -2.42737
                  55             1.74533            0.984808            -2.45871
                  56             1.77706            0.978802            -2.48986
                  57              1.8088            0.971812            -2.52082
                  58             1.84053            0.963842            -2.55153
                  59             1.87226            0.954902            -2.58198
                  60               1.904            0.945001            -2.61213
                  61             1.93573            0.934148            -2.64194
                  62             1.96746            0.922354             -2.6714
                  63              1.9992            0.909632            -2.70047
                  64             2.03093            0.895994            -2.72912
                  65             2.06266            0.881453            -2.75733
                  66              2.0944            0.866025            -2.78506
                  67             2.12613            0.849725            -2.81228
                  68             2.15786             0.83257            -2.83898
                  69             2.18959            0.814576            -2.86511
                  70             2.22133            0.795762            -2.89067
                  71             2.25306            0.776146            -2.91561
                  72             2.28479             0.75575            -2.93992
                  73             2.31653            0.734592            -2.96357
                  74             2.34826            0.712694            -2.98653
                  75             2.37999            0.690079            -3.00879
                  76             2.41173            0.666769            -3.03032
                  77             2.44346            0.642788             -3.0511
                  78             2.47519            0.618159            -3.07111
                  79             2.50693            0.592908            -3.09033
                  80             2.53866             0.56706            -3.10873
                  81             2.57039            0.540641            -3.12631
                  82             2.60213            0.513677            -3.14304
                  83             2.63386            0.486197            -3.15891
                  84             2.66559            0.458227            -3.17389
                  85             2.69733            0.429795            -3.18798
                  86             2.72906            0.400931            -3.20117
                  87             2.76079            0.371662            -3.21343
                  88             2.79253             0.34202            -3.22475
                  89             2.82426            0.312033            -3.23513
                  90             2.85599            0.281733            -3.24455
                  91             2.88773            0.251148            -3.25301
                  92             2.91946            0.220311            -3.26049
                  93             2.95119            0.189251            -3.26699
                  94             2.98293            0.158001             -3.2725
                  95             3.01466            0.126592            -3.27701
                  96             3.04639            0.095056            -3.28053
                  97             3.07813           0.0634239            -3.28304
                  98             3.10986           0.0317279            -3.28455
                  99             3.14159                   0            -3.28506
