            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.33681
                   0                   0                   0            -1.33681
                   1           0.0317333           0.0317279            -1.33731
                   2           0.0634665           0.0634239            -1.33882
                   3           0.0951998            0.095056            -1.34134
                   4            0.126933            0.126592            -1.34485
                   5            0.158666            0.158001            -1.34937
                   6              0.1904            0.189251            -1.35488
                   7            0.222133            0.220311            -1.36138
                   8            0.253866            0.251148            -1.36886
                   9            0.285599            0.281733            -1.37731
                  10            0.317333            0.312033            -1.38674
                  11            0.349066             0.34202            -1.39712
                  12            0.380799            0.371662            -1.40844
                  13            0.412532            0.400931             -1.4207
                  14            0.444266            0.429795            -1.43388
                  15            0.475999            0.458227            -1.44797
                  16            0.507732            0.486197            -1.46296
                  17            0.539465            0.513677            -1.47882
                  18            0.571199            0.540641            -1.49555
                  19            0.602932             0.56706            -1.51313
                  20            0.634665            0.592908            -1.53154
                  21            0.666398            0.618159            -1.55075
                  22            0.698132            0.642788            -1.57076
                  23            0.729865            0.666769            -1.59154
                  24            0.761598            0.690079            -1.61307
                  25            0.793331            0.712694            -1.63533
                  26            0.825065            0.734592             -1.6583
                  27            0.856798             0.75575            -1.68195
                  28            0.888531            0.776146            -1.70626
                  29            0.920265            0.795762             -1.7312
                  30            0.951998            0.814576            -1.75675
                  31            0.983731             0.83257            -1.78289
                  32             1.01546            0.849725            -1.80958
                  33              1.0472            0.866025            -1.83681
                  34             1.07893            0.881453            -1.86454
                  35             1.11066            0.895994            -1.89274
                  36              1.1424            0.909632            -1.92139
                  37             1.17413            0.922354            -1.95046
                  38             1.20586            0.934148            -1.97992
                  39              1.2376            0.945001            -2.00974
                  40             1.26933            0.954902            -2.03989
                  41             1.30106            0.963842            -2.07033
                  42              1.3328            0.971812            -2.10105
                  43             1.36453            0.978802              -2.132
                  44             1.39626            0.984808            -2.16316
                  45               1.428            0.989821            -2.19449
                  46             1.45973            0.993838            -2.22597
                  47             1.49146            0.996855            -2.25756
                  48              1.5232            0.998867            -2.28923
                  49             1.55493            0.999874            -2.32094
                  50             1.58666            0.999874            -2.35267
                  51              1.6184            0.998867            -2.38439
                  52             1.65013            0.996855            -2.41606
                  53             1.68186            0.993838            -2.44765
                  54              1.7136            0.989821            -2.47912
                  55             1.74533            0.984808            -2.51046
                  56             1.77706            0.978802            -2.54161
                  57              1.8088            0.971812            -2.57257
                  58             1.84053            0.963842            -2.60328
                  59             1.87226            0.954902            -2.63373
                  60               1.904            0.945001            -2.66388
                  61             1.93573            0.934148            -2.69369
                  62             1.96746            0.922354            -2.72315
                  63              1.9992            0.909632            -2.75222
                  64             2.03093            0.895994            -2.78087
                  65             2.06266            0.881453            -2.80908
                  66              2.0944            0.866025            -2.83681
                  67             2.12613            0.849725            -2.86403
                  68             2.15786             0.83257            -2.89073
                  69             2.18959            0.814576            -2.91686
                  70             2.22133            0.795762            -2.94242
                  71             2.25306            0.776146            -2.96736
                  72             2.28479             0.75575            -2.99167
                  73             2.31653            0.734592            -3.01532
                  74             2.34826            0.712694            -3.03828
                  75             2.37999            0.690079            -3.06054
                  76             2.41173            0.666769            -3.08207
                  77             2.44346            0.642788            -3.10285
                  78             2.47519            0.618159            -3.12286
                  79             2.50693            0.592908            -3.14208
                  80             2.53866             0.56706            -3.16048
                  81             2.57039            0.540641            -3.17806
                  82             2.60213            0.513677            -3.19479
                  83             2.63386            0.486197            -3.21066
                  84             2.66559            0.458227            -3.22564
                  85             2.69733            0.429795            -3.23973
                  86             2.72906            0.400931            -3.25292
                  87             2.76079            0.371662            -3.26518
                  88             2.79253             0.34202             -3.2765
                  89             2.82426            0.312033            -3.28688
                  90             2.85599            0.281733             -3.2963
                  91             2.88773            0.251148            -3.30476
                  92             2.91946            0.220311            -3.31224
                  93             2.95119            0.189251            -3.31874
                  94             2.98293            0.158001            -3.32425
                  95             3.01466            0.126592            -3.32876
                  96             3.04639            0.095056            -3.33228
                  97             3.07813           0.0634239            -3.33479
                  98             3.10986           0.0317279             -3.3363
                  99             3.14159                   0            -3.33681
