            Interval               Theta              Radial            Vertical
                   0                   0                   0             2.03218
                   0                   0                   0             2.03218
                   1           0.0317333           0.0317279             2.03168
                   2           0.0634665           0.0634239             2.03017
                   3           0.0951998            0.095056             2.02765
                   4            0.126933            0.126592             2.02414
                   5            0.158666            0.158001             2.01962
                   6              0.1904            0.189251             2.01411
                   7            0.222133            0.220311             2.00761
                   8            0.253866            0.251148             2.00013
                   9            0.285599            0.281733             1.99168
                  10            0.317333            0.312033             1.98225
                  11            0.349066             0.34202             1.97187
                  12            0.380799            0.371662             1.96055
                  13            0.412532            0.400931             1.94829
                  14            0.444266            0.429795             1.93511
                  15            0.475999            0.458227             1.92102
                  16            0.507732            0.486197             1.90603
                  17            0.539465            0.513677             1.89017
                  18            0.571199            0.540641             1.87344
                  19            0.602932             0.56706             1.85586
                  20            0.634665            0.592908             1.83745
                  21            0.666398            0.618159             1.81824
                  22            0.698132            0.642788             1.79823
                  23            0.729865            0.666769             1.77745
                  24            0.761598            0.690079             1.75592
                  25            0.793331            0.712694             1.73366
                  26            0.825065            0.734592             1.71069
                  27            0.856798             0.75575             1.68704
                  28            0.888531            0.776146             1.66273
                  29            0.920265            0.795762             1.63779
                  30            0.951998            0.814576             1.61224
                  31            0.983731             0.83257              1.5861
                  32             1.01546            0.849725             1.55941
                  33              1.0472            0.866025             1.53218
                  34             1.07893            0.881453             1.50445
                  35             1.11066            0.895994             1.47625
                  36              1.1424            0.909632              1.4476
                  37             1.17413            0.922354             1.41853
                  38             1.20586            0.934148             1.38907
                  39              1.2376            0.945001             1.35925
                  40             1.26933            0.954902              1.3291
                  41             1.30106            0.963842             1.29866
                  42              1.3328            0.971812             1.26794
                  43             1.36453            0.978802             1.23699
                  44             1.39626            0.984808             1.20583
                  45               1.428            0.989821              1.1745
                  46             1.45973            0.993838             1.14302
                  47             1.49146            0.996855             1.11143
                  48              1.5232            0.998867             1.07976
                  49             1.55493            0.999874             1.04805
                  50             1.58666            0.999874             1.01632
                  51              1.6184            0.998867              0.9846
                  52             1.65013            0.996855            0.952932
                  53             1.68186            0.993838            0.921344
                  54              1.7136            0.989821            0.889867
                  55             1.74533            0.984808            0.858534
                  56             1.77706            0.978802            0.827376
                  57              1.8088            0.971812            0.796423
                  58             1.84053            0.963842            0.765708
                  59             1.87226            0.954902            0.735262
                  60               1.904            0.945001            0.705114
                  61             1.93573            0.934148            0.675296
                  62             1.96746            0.922354            0.645837
                  63              1.9992            0.909632            0.616767
                  64             2.03093            0.895994            0.588116
                  65             2.06266            0.881453            0.559911
                  66              2.0944            0.866025            0.532182
                  67             2.12613            0.849725            0.504957
                  68             2.15786             0.83257            0.478262
                  69             2.18959            0.814576            0.452125
                  70             2.22133            0.795762            0.426573
                  71             2.25306            0.776146             0.40163
                  72             2.28479             0.75575            0.377322
                  73             2.31653            0.734592            0.353673
                  74             2.34826            0.712694            0.330707
                  75             2.37999            0.690079            0.308448
                  76             2.41173            0.666769            0.286918
                  77             2.44346            0.642788            0.266138
                  78             2.47519            0.618159            0.246129
                  79             2.50693            0.592908            0.226912
                  80             2.53866             0.56706            0.208506
                  81             2.57039            0.540641            0.190929
                  82             2.60213            0.513677            0.174199
                  83             2.63386            0.486197            0.158333
                  84             2.66559            0.458227            0.143347
                  85             2.69733            0.429795            0.129256
                  86             2.72906            0.400931            0.116074
                  87             2.76079            0.371662            0.103814
                  88             2.79253             0.34202           0.0924897
                  89             2.82426            0.312033           0.0821112
                  90             2.85599            0.281733           0.0726893
                  91             2.88773            0.251148           0.0642336
                  92             2.91946            0.220311           0.0567525
                  93             2.95119            0.189251           0.0502536
                  94             2.98293            0.158001           0.0447434
                  95             3.01466            0.126592           0.0402275
                  96             3.04639            0.095056           0.0367104
                  97             3.07813           0.0634239           0.0341956
                  98             3.10986           0.0317279           0.0326858
                  99             3.14159                   0           0.0321823
