            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.78156
                   0                   0                   0             1.78156
                   1           0.0317333           0.0317279             1.78106
                   2           0.0634665           0.0634239             1.77955
                   3           0.0951998            0.095056             1.77704
                   4            0.126933            0.126592             1.77352
                   5            0.158666            0.158001               1.769
                   6              0.1904            0.189251             1.76349
                   7            0.222133            0.220311             1.75699
                   8            0.253866            0.251148             1.74951
                   9            0.285599            0.281733             1.74106
                  10            0.317333            0.312033             1.73164
                  11            0.349066             0.34202             1.72126
                  12            0.380799            0.371662             1.70993
                  13            0.412532            0.400931             1.69767
                  14            0.444266            0.429795             1.68449
                  15            0.475999            0.458227              1.6704
                  16            0.507732            0.486197             1.65541
                  17            0.539465            0.513677             1.63955
                  18            0.571199            0.540641             1.62282
                  19            0.602932             0.56706             1.60524
                  20            0.634665            0.592908             1.58683
                  21            0.666398            0.618159             1.56762
                  22            0.698132            0.642788             1.54761
                  23            0.729865            0.666769             1.52683
                  24            0.761598            0.690079              1.5053
                  25            0.793331            0.712694             1.48304
                  26            0.825065            0.734592             1.46007
                  27            0.856798             0.75575             1.43642
                  28            0.888531            0.776146             1.41212
                  29            0.920265            0.795762             1.38717
                  30            0.951998            0.814576             1.36162
                  31            0.983731             0.83257             1.33548
                  32             1.01546            0.849725             1.30879
                  33              1.0472            0.866025             1.28156
                  34             1.07893            0.881453             1.25384
                  35             1.11066            0.895994             1.22563
                  36              1.1424            0.909632             1.19698
                  37             1.17413            0.922354             1.16791
                  38             1.20586            0.934148             1.13845
                  39              1.2376            0.945001             1.10863
                  40             1.26933            0.954902             1.07848
                  41             1.30106            0.963842             1.04804
                  42              1.3328            0.971812             1.01732
                  43             1.36453            0.978802            0.986371
                  44             1.39626            0.984808            0.955212
                  45               1.428            0.989821            0.923879
                  46             1.45973            0.993838            0.892402
                  47             1.49146            0.996855            0.860814
                  48              1.5232            0.998867            0.829146
                  49             1.55493            0.999874             0.79743
                  50             1.58666            0.999874            0.765698
                  51              1.6184            0.998867            0.733982
                  52             1.65013            0.996855            0.702314
                  53             1.68186            0.993838            0.670726
                  54              1.7136            0.989821            0.639249
                  55             1.74533            0.984808            0.607916
                  56             1.77706            0.978802            0.576757
                  57              1.8088            0.971812            0.545805
                  58             1.84053            0.963842             0.51509
                  59             1.87226            0.954902            0.484644
                  60               1.904            0.945001            0.454496
                  61             1.93573            0.934148            0.424678
                  62             1.96746            0.922354            0.395219
                  63              1.9992            0.909632            0.366149
                  64             2.03093            0.895994            0.337497
                  65             2.06266            0.881453            0.309293
                  66              2.0944            0.866025            0.281564
                  67             2.12613            0.849725            0.254339
                  68             2.15786             0.83257            0.227644
                  69             2.18959            0.814576            0.201507
                  70             2.22133            0.795762            0.175954
                  71             2.25306            0.776146            0.151011
                  72             2.28479             0.75575            0.126703
                  73             2.31653            0.734592            0.103055
                  74             2.34826            0.712694           0.0800891
                  75             2.37999            0.690079             0.05783
                  76             2.41173            0.666769           0.0362996
                  77             2.44346            0.642788           0.0155196
                  78             2.47519            0.618159         -0.00448907
                  79             2.50693            0.592908          -0.0237062
                  80             2.53866             0.56706          -0.0421126
                  81             2.57039            0.540641          -0.0596895
                  82             2.60213            0.513677          -0.0764194
                  83             2.63386            0.486197          -0.0922854
                  84             2.66559            0.458227           -0.107271
                  85             2.69733            0.429795           -0.121363
                  86             2.72906            0.400931           -0.134544
                  87             2.76079            0.371662           -0.146804
                  88             2.79253             0.34202           -0.158129
                  89             2.82426            0.312033           -0.168507
                  90             2.85599            0.281733           -0.177929
                  91             2.88773            0.251148           -0.186385
                  92             2.91946            0.220311           -0.193866
                  93             2.95119            0.189251           -0.200365
                  94             2.98293            0.158001           -0.205875
                  95             3.01466            0.126592           -0.210391
                  96             3.04639            0.095056           -0.213908
                  97             3.07813           0.0634239           -0.216423
                  98             3.10986           0.0317279           -0.217933
                  99             3.14159                   0           -0.218436
