            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.621995
                   1            0.151838            0.151831           -0.620509
                   2            0.303676            0.303606           -0.616129
                   3            0.455514            0.455274           -0.608954
                   4            0.607353            0.606796           -0.599151
                   5            0.759191            0.758143           -0.586947
                   6            0.911029            0.909303           -0.572616
                   7             1.06287             1.06028           -0.556473
                   8             1.21471             1.21109           -0.538856
                   9             1.36654             1.36177           -0.520115
                  10             1.51838             1.51235           -0.500597
                  11             1.67022             1.66287           -0.480634
                  12             1.82206             1.81337           -0.460531
                  13              1.9739             1.96389           -0.440557
                  14             2.12573             2.11445           -0.420941
                  15             2.27757             2.26509           -0.401867
                  16             2.42941             2.41581           -0.383479
                  17             2.58125             2.56663           -0.365876
                  18             2.73309             2.71754           -0.349126
                  19             2.88493             2.86854           -0.333262
                  20             3.03676             3.01964           -0.318295
                  21              3.1886             3.17083           -0.304216
                  22             3.34044             3.32209              -0.291
                  23             3.49228             3.47342           -0.278615
                  24             3.64412             3.62482           -0.267018
                  25             3.79595             3.77627           -0.256166
                  26             3.94779             3.92776           -0.246013
                  27             4.09963              4.0793           -0.236512
                  28             4.25147             4.23088           -0.227617
                  29             4.40331             4.38249           -0.219285
                  30             4.55514             4.53413           -0.211474
                  31             4.70698             4.68579           -0.204146
                  32             4.85882             4.83747           -0.197263
                  33             5.01066             4.98917           -0.190792
                  34              5.1625             5.14089           -0.184701
                  35             5.31434             5.29262           -0.178963
                  36             5.46617             5.44436           -0.173549
                  37             5.61801             5.59611           -0.168436
                  38             5.76985             5.74787           -0.163603
                  39             5.92169             5.89964           -0.159027
                  40             6.07353             6.05142           -0.154691
                  41             6.22536              6.2032           -0.150578
                  42              6.3772             6.35499           -0.146671
                  43             6.52904             6.50678           -0.142957
                  44             6.68088             6.65858           -0.139422
                  45             6.83272             6.81038           -0.136054
                  46             6.98456             6.96218           -0.132843
                  47             7.13639             7.11399           -0.129777
                  48             7.28823              7.2658           -0.126849
                  49             7.44007             7.41761           -0.124048
                  50             7.59191             7.56943           -0.121367
                  51             7.74375             7.72124           -0.118799
                  52             7.89558             7.87306           -0.116337
                  53             8.04742             8.02488           -0.113974
                  54             8.19926              8.1767           -0.111705
                  55              8.3511             8.32852           -0.109525
                  56             8.50294             8.48035           -0.107429
                  57             8.65478             8.63217           -0.105411
                  58             8.80661               8.784           -0.103468
                  59             8.95845             8.93583           -0.101595
                  60             9.11029             9.08765          -0.0997896
                  61             9.26213             9.23948          -0.0980473
                  62             9.41397             9.39131          -0.0963652
                  63              9.5658             9.54314          -0.0947401
                  64             9.71764             9.69497          -0.0931694
                  65             9.86948              9.8468          -0.0916503
                  66             10.0213             9.99863          -0.0901804
                  67             10.1732             10.1505          -0.0887573
                  68              10.325             10.3023          -0.0873789
                  69             10.4768             10.4541           -0.086043
                  70             10.6287              10.606          -0.0847478
                  71             10.7805             10.7578          -0.0834914
                  72             10.9323             10.9096          -0.0822722
                  73             11.0842             11.0615          -0.0810885
                  74              11.236             11.2133          -0.0799389
                  75             11.3879             11.3651          -0.0788217
                  76             11.5397              11.517          -0.0777358
                  77             11.6915             11.6688          -0.0766799
                  78             11.8434             11.8206          -0.0756526
                  79             11.9952             11.9725           -0.074653
                  80             12.1471             12.1243          -0.0736798
                  81             12.2989             12.2761          -0.0727321
                  82             12.4507              12.428          -0.0718088
                  83             12.6026             12.5798          -0.0709092
                  84             12.7544             12.7316          -0.0700322
                  85             12.9062             12.8835          -0.0691771
                  86             13.0581             13.0353           -0.068343
                  87             13.2099             13.1871          -0.0675292
                  88             13.3618              13.339           -0.066735
                  89             13.5136             13.4908          -0.0659598
                  90             13.6654             13.6427          -0.0652027
                  91             13.8173             13.7945          -0.0644634
                  92             13.9691             13.9463          -0.0637411
                  93             14.1209             14.0982          -0.0630354
                  94             14.2728               14.25          -0.0623457
                  95             14.4246             14.4018          -0.0616715
                  96             14.5765             14.5537          -0.0610125
                  97             14.7283             14.7055          -0.0603682
                  98             14.8801             14.8574          -0.0597385
                  99              15.032             15.0092          -0.0591234
