            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.20293
                   0                   0                   0            -1.20293
                   1           0.0317333           0.0317279            -1.20344
                   2           0.0634665           0.0634239            -1.20495
                   3           0.0951998            0.095056            -1.20746
                   4            0.126933            0.126592            -1.21098
                   5            0.158666            0.158001             -1.2155
                   6              0.1904            0.189251            -1.22101
                   7            0.222133            0.220311            -1.22751
                   8            0.253866            0.251148            -1.23499
                   9            0.285599            0.281733            -1.24344
                  10            0.317333            0.312033            -1.25286
                  11            0.349066             0.34202            -1.26324
                  12            0.380799            0.371662            -1.27457
                  13            0.412532            0.400931            -1.28683
                  14            0.444266            0.429795            -1.30001
                  15            0.475999            0.458227             -1.3141
                  16            0.507732            0.486197            -1.32909
                  17            0.539465            0.513677            -1.34495
                  18            0.571199            0.540641            -1.36168
                  19            0.602932             0.56706            -1.37926
                  20            0.634665            0.592908            -1.39766
                  21            0.666398            0.618159            -1.41688
                  22            0.698132            0.642788            -1.43689
                  23            0.729865            0.666769            -1.45767
                  24            0.761598            0.690079             -1.4792
                  25            0.793331            0.712694            -1.50146
                  26            0.825065            0.734592            -1.52443
                  27            0.856798             0.75575            -1.54807
                  28            0.888531            0.776146            -1.57238
                  29            0.920265            0.795762            -1.59733
                  30            0.951998            0.814576            -1.62288
                  31            0.983731             0.83257            -1.64901
                  32             1.01546            0.849725            -1.67571
                  33              1.0472            0.866025            -1.70293
                  34             1.07893            0.881453            -1.73066
                  35             1.11066            0.895994            -1.75887
                  36              1.1424            0.909632            -1.78752
                  37             1.17413            0.922354            -1.81659
                  38             1.20586            0.934148            -1.84605
                  39              1.2376            0.945001            -1.87587
                  40             1.26933            0.954902            -1.90601
                  41             1.30106            0.963842            -1.93646
                  42              1.3328            0.971812            -1.96718
                  43             1.36453            0.978802            -1.99813
                  44             1.39626            0.984808            -2.02929
                  45               1.428            0.989821            -2.06062
                  46             1.45973            0.993838             -2.0921
                  47             1.49146            0.996855            -2.12368
                  48              1.5232            0.998867            -2.15535
                  49             1.55493            0.999874            -2.18707
                  50             1.58666            0.999874             -2.2188
                  51              1.6184            0.998867            -2.25052
                  52             1.65013            0.996855            -2.28218
                  53             1.68186            0.993838            -2.31377
                  54              1.7136            0.989821            -2.34525
                  55             1.74533            0.984808            -2.37658
                  56             1.77706            0.978802            -2.40774
                  57              1.8088            0.971812            -2.43869
                  58             1.84053            0.963842            -2.46941
                  59             1.87226            0.954902            -2.49986
                  60               1.904            0.945001               -2.53
                  61             1.93573            0.934148            -2.55982
                  62             1.96746            0.922354            -2.58928
                  63              1.9992            0.909632            -2.61835
                  64             2.03093            0.895994              -2.647
                  65             2.06266            0.881453            -2.67521
                  66              2.0944            0.866025            -2.70293
                  67             2.12613            0.849725            -2.73016
                  68             2.15786             0.83257            -2.75685
                  69             2.18959            0.814576            -2.78299
                  70             2.22133            0.795762            -2.80854
                  71             2.25306            0.776146            -2.83349
                  72             2.28479             0.75575             -2.8578
                  73             2.31653            0.734592            -2.88144
                  74             2.34826            0.712694            -2.90441
                  75             2.37999            0.690079            -2.92667
                  76             2.41173            0.666769             -2.9482
                  77             2.44346            0.642788            -2.96898
                  78             2.47519            0.618159            -2.98899
                  79             2.50693            0.592908            -3.00821
                  80             2.53866             0.56706            -3.02661
                  81             2.57039            0.540641            -3.04419
                  82             2.60213            0.513677            -3.06092
                  83             2.63386            0.486197            -3.07678
                  84             2.66559            0.458227            -3.09177
                  85             2.69733            0.429795            -3.10586
                  86             2.72906            0.400931            -3.11904
                  87             2.76079            0.371662             -3.1313
                  88             2.79253             0.34202            -3.14263
                  89             2.82426            0.312033            -3.15301
                  90             2.85599            0.281733            -3.16243
                  91             2.88773            0.251148            -3.17088
                  92             2.91946            0.220311            -3.17836
                  93             2.95119            0.189251            -3.18486
                  94             2.98293            0.158001            -3.19037
                  95             3.01466            0.126592            -3.19489
                  96             3.04639            0.095056            -3.19841
                  97             3.07813           0.0634239            -3.20092
                  98             3.10986           0.0317279            -3.20243
                  99             3.14159                   0            -3.20293
