            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.73145
                   0                   0                   0             3.73145
                   1           0.0317333           0.0317279             3.73095
                   2           0.0634665           0.0634239             3.72944
                   3           0.0951998            0.095056             3.72692
                   4            0.126933            0.126592             3.72341
                   5            0.158666            0.158001             3.71889
                   6              0.1904            0.189251             3.71338
                   7            0.222133            0.220311             3.70688
                   8            0.253866            0.251148              3.6994
                   9            0.285599            0.281733             3.69095
                  10            0.317333            0.312033             3.68152
                  11            0.349066             0.34202             3.67115
                  12            0.380799            0.371662             3.65982
                  13            0.412532            0.400931             3.64756
                  14            0.444266            0.429795             3.63438
                  15            0.475999            0.458227             3.62029
                  16            0.507732            0.486197              3.6053
                  17            0.539465            0.513677             3.58944
                  18            0.571199            0.540641             3.57271
                  19            0.602932             0.56706             3.55513
                  20            0.634665            0.592908             3.53672
                  21            0.666398            0.618159             3.51751
                  22            0.698132            0.642788              3.4975
                  23            0.729865            0.666769             3.47672
                  24            0.761598            0.690079             3.45519
                  25            0.793331            0.712694             3.43293
                  26            0.825065            0.734592             3.40996
                  27            0.856798             0.75575             3.38631
                  28            0.888531            0.776146             3.36201
                  29            0.920265            0.795762             3.33706
                  30            0.951998            0.814576             3.31151
                  31            0.983731             0.83257             3.28537
                  32             1.01546            0.849725             3.25868
                  33              1.0472            0.866025             3.23145
                  34             1.07893            0.881453             3.20372
                  35             1.11066            0.895994             3.17552
                  36              1.1424            0.909632             3.14687
                  37             1.17413            0.922354              3.1178
                  38             1.20586            0.934148             3.08834
                  39              1.2376            0.945001             3.05852
                  40             1.26933            0.954902             3.02837
                  41             1.30106            0.963842             2.99793
                  42              1.3328            0.971812             2.96721
                  43             1.36453            0.978802             2.93626
                  44             1.39626            0.984808              2.9051
                  45               1.428            0.989821             2.87377
                  46             1.45973            0.993838             2.84229
                  47             1.49146            0.996855              2.8107
                  48              1.5232            0.998867             2.77903
                  49             1.55493            0.999874             2.74732
                  50             1.58666            0.999874             2.71559
                  51              1.6184            0.998867             2.68387
                  52             1.65013            0.996855              2.6522
                  53             1.68186            0.993838             2.62061
                  54              1.7136            0.989821             2.58914
                  55             1.74533            0.984808              2.5578
                  56             1.77706            0.978802             2.52665
                  57              1.8088            0.971812             2.49569
                  58             1.84053            0.963842             2.46498
                  59             1.87226            0.954902             2.43453
                  60               1.904            0.945001             2.40438
                  61             1.93573            0.934148             2.37457
                  62             1.96746            0.922354             2.34511
                  63              1.9992            0.909632             2.31604
                  64             2.03093            0.895994             2.28739
                  65             2.06266            0.881453             2.25918
                  66              2.0944            0.866025             2.23145
                  67             2.12613            0.849725             2.20423
                  68             2.15786             0.83257             2.17753
                  69             2.18959            0.814576              2.1514
                  70             2.22133            0.795762             2.12584
                  71             2.25306            0.776146              2.1009
                  72             2.28479             0.75575             2.07659
                  73             2.31653            0.734592             2.05294
                  74             2.34826            0.712694             2.02998
                  75             2.37999            0.690079             2.00772
                  76             2.41173            0.666769             1.98619
                  77             2.44346            0.642788             1.96541
                  78             2.47519            0.618159              1.9454
                  79             2.50693            0.592908             1.92618
                  80             2.53866             0.56706             1.90778
                  81             2.57039            0.540641              1.8902
                  82             2.60213            0.513677             1.87347
                  83             2.63386            0.486197              1.8576
                  84             2.66559            0.458227             1.84262
                  85             2.69733            0.429795             1.82853
                  86             2.72906            0.400931             1.81534
                  87             2.76079            0.371662             1.80308
                  88             2.79253             0.34202             1.79176
                  89             2.82426            0.312033             1.78138
                  90             2.85599            0.281733             1.77196
                  91             2.88773            0.251148              1.7635
                  92             2.91946            0.220311             1.75602
                  93             2.95119            0.189251             1.74952
                  94             2.98293            0.158001             1.74401
                  95             3.01466            0.126592              1.7395
                  96             3.04639            0.095056             1.73598
                  97             3.07813           0.0634239             1.73347
                  98             3.10986           0.0317279             1.73196
                  99             3.14159                   0             1.73145
