            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.61265
                   0                   0                   0             3.61265
                   1           0.0317333           0.0317279             3.61215
                   2           0.0634665           0.0634239             3.61064
                   3           0.0951998            0.095056             3.60813
                   4            0.126933            0.126592             3.60461
                   5            0.158666            0.158001             3.60009
                   6              0.1904            0.189251             3.59458
                   7            0.222133            0.220311             3.58808
                   8            0.253866            0.251148              3.5806
                   9            0.285599            0.281733             3.57215
                  10            0.317333            0.312033             3.56273
                  11            0.349066             0.34202             3.55235
                  12            0.380799            0.371662             3.54102
                  13            0.412532            0.400931             3.52876
                  14            0.444266            0.429795             3.51558
                  15            0.475999            0.458227             3.50149
                  16            0.507732            0.486197              3.4865
                  17            0.539465            0.513677             3.47064
                  18            0.571199            0.540641             3.45391
                  19            0.602932             0.56706             3.43633
                  20            0.634665            0.592908             3.41792
                  21            0.666398            0.618159             3.39871
                  22            0.698132            0.642788              3.3787
                  23            0.729865            0.666769             3.35792
                  24            0.761598            0.690079             3.33639
                  25            0.793331            0.712694             3.31413
                  26            0.825065            0.734592             3.29116
                  27            0.856798             0.75575             3.26752
                  28            0.888531            0.776146             3.24321
                  29            0.920265            0.795762             3.21826
                  30            0.951998            0.814576             3.19271
                  31            0.983731             0.83257             3.16657
                  32             1.01546            0.849725             3.13988
                  33              1.0472            0.866025             3.11265
                  34             1.07893            0.881453             3.08493
                  35             1.11066            0.895994             3.05672
                  36              1.1424            0.909632             3.02807
                  37             1.17413            0.922354               2.999
                  38             1.20586            0.934148             2.96954
                  39              1.2376            0.945001             2.93972
                  40             1.26933            0.954902             2.90958
                  41             1.30106            0.963842             2.87913
                  42              1.3328            0.971812             2.84841
                  43             1.36453            0.978802             2.81746
                  44             1.39626            0.984808              2.7863
                  45               1.428            0.989821             2.75497
                  46             1.45973            0.993838             2.72349
                  47             1.49146            0.996855              2.6919
                  48              1.5232            0.998867             2.66024
                  49             1.55493            0.999874             2.62852
                  50             1.58666            0.999874             2.59679
                  51              1.6184            0.998867             2.56507
                  52             1.65013            0.996855              2.5334
                  53             1.68186            0.993838             2.50182
                  54              1.7136            0.989821             2.47034
                  55             1.74533            0.984808             2.43901
                  56             1.77706            0.978802             2.40785
                  57              1.8088            0.971812              2.3769
                  58             1.84053            0.963842             2.34618
                  59             1.87226            0.954902             2.31573
                  60               1.904            0.945001             2.28559
                  61             1.93573            0.934148             2.25577
                  62             1.96746            0.922354             2.22631
                  63              1.9992            0.909632             2.19724
                  64             2.03093            0.895994             2.16859
                  65             2.06266            0.881453             2.14038
                  66              2.0944            0.866025             2.11265
                  67             2.12613            0.849725             2.08543
                  68             2.15786             0.83257             2.05873
                  69             2.18959            0.814576              2.0326
                  70             2.22133            0.795762             2.00704
                  71             2.25306            0.776146              1.9821
                  72             2.28479             0.75575             1.95779
                  73             2.31653            0.734592             1.93415
                  74             2.34826            0.712694             1.91118
                  75             2.37999            0.690079             1.88892
                  76             2.41173            0.666769             1.86739
                  77             2.44346            0.642788             1.84661
                  78             2.47519            0.618159              1.8266
                  79             2.50693            0.592908             1.80738
                  80             2.53866             0.56706             1.78898
                  81             2.57039            0.540641              1.7714
                  82             2.60213            0.513677             1.75467
                  83             2.63386            0.486197             1.73881
                  84             2.66559            0.458227             1.72382
                  85             2.69733            0.429795             1.70973
                  86             2.72906            0.400931             1.69655
                  87             2.76079            0.371662             1.68429
                  88             2.79253             0.34202             1.67296
                  89             2.82426            0.312033             1.66258
                  90             2.85599            0.281733             1.65316
                  91             2.88773            0.251148             1.64471
                  92             2.91946            0.220311             1.63722
                  93             2.95119            0.189251             1.63073
                  94             2.98293            0.158001             1.62522
                  95             3.01466            0.126592              1.6207
                  96             3.04639            0.095056             1.61718
                  97             3.07813           0.0634239             1.61467
                  98             3.10986           0.0317279             1.61316
                  99             3.14159                   0             1.61265
