            Interval               Theta              Radial            Vertical
                   0                   0                   0             2.11886
                   0                   0                   0             2.11886
                   1           0.0317333           0.0317279             2.11836
                   2           0.0634665           0.0634239             2.11685
                   3           0.0951998            0.095056             2.11434
                   4            0.126933            0.126592             2.11082
                   5            0.158666            0.158001              2.1063
                   6              0.1904            0.189251             2.10079
                   7            0.222133            0.220311             2.09429
                   8            0.253866            0.251148             2.08681
                   9            0.285599            0.281733             2.07836
                  10            0.317333            0.312033             2.06894
                  11            0.349066             0.34202             2.05856
                  12            0.380799            0.371662             2.04723
                  13            0.412532            0.400931             2.03497
                  14            0.444266            0.429795             2.02179
                  15            0.475999            0.458227              2.0077
                  16            0.507732            0.486197             1.99271
                  17            0.539465            0.513677             1.97685
                  18            0.571199            0.540641             1.96012
                  19            0.602932             0.56706             1.94254
                  20            0.634665            0.592908             1.92413
                  21            0.666398            0.618159             1.90492
                  22            0.698132            0.642788             1.88491
                  23            0.729865            0.666769             1.86413
                  24            0.761598            0.690079              1.8426
                  25            0.793331            0.712694             1.82034
                  26            0.825065            0.734592             1.79737
                  27            0.856798             0.75575             1.77372
                  28            0.888531            0.776146             1.74942
                  29            0.920265            0.795762             1.72447
                  30            0.951998            0.814576             1.69892
                  31            0.983731             0.83257             1.67278
                  32             1.01546            0.849725             1.64609
                  33              1.0472            0.866025             1.61886
                  34             1.07893            0.881453             1.59114
                  35             1.11066            0.895994             1.56293
                  36              1.1424            0.909632             1.53428
                  37             1.17413            0.922354             1.50521
                  38             1.20586            0.934148             1.47575
                  39              1.2376            0.945001             1.44593
                  40             1.26933            0.954902             1.41578
                  41             1.30106            0.963842             1.38534
                  42              1.3328            0.971812             1.35462
                  43             1.36453            0.978802             1.32367
                  44             1.39626            0.984808             1.29251
                  45               1.428            0.989821             1.26118
                  46             1.45973            0.993838              1.2297
                  47             1.49146            0.996855             1.19811
                  48              1.5232            0.998867             1.16645
                  49             1.55493            0.999874             1.13473
                  50             1.58666            0.999874               1.103
                  51              1.6184            0.998867             1.07128
                  52             1.65013            0.996855             1.03961
                  53             1.68186            0.993838             1.00803
                  54              1.7136            0.989821            0.976549
                  55             1.74533            0.984808            0.945216
                  56             1.77706            0.978802            0.914057
                  57              1.8088            0.971812            0.883105
                  58             1.84053            0.963842             0.85239
                  59             1.87226            0.954902            0.821944
                  60               1.904            0.945001            0.791796
                  61             1.93573            0.934148            0.761978
                  62             1.96746            0.922354            0.732519
                  63              1.9992            0.909632            0.703449
                  64             2.03093            0.895994            0.674797
                  65             2.06266            0.881453            0.646593
                  66              2.0944            0.866025            0.618864
                  67             2.12613            0.849725            0.591639
                  68             2.15786             0.83257            0.564944
                  69             2.18959            0.814576            0.538807
                  70             2.22133            0.795762            0.513254
                  71             2.25306            0.776146            0.488311
                  72             2.28479             0.75575            0.464003
                  73             2.31653            0.734592            0.440355
                  74             2.34826            0.712694            0.417389
                  75             2.37999            0.690079             0.39513
                  76             2.41173            0.666769              0.3736
                  77             2.44346            0.642788             0.35282
                  78             2.47519            0.618159            0.332811
                  79             2.50693            0.592908            0.313594
                  80             2.53866             0.56706            0.295188
                  81             2.57039            0.540641            0.277611
                  82             2.60213            0.513677            0.260881
                  83             2.63386            0.486197            0.245015
                  84             2.66559            0.458227            0.230029
                  85             2.69733            0.429795            0.215938
                  86             2.72906            0.400931            0.202756
                  87             2.76079            0.371662            0.190496
                  88             2.79253             0.34202            0.179171
                  89             2.82426            0.312033            0.168793
                  90             2.85599            0.281733            0.159371
                  91             2.88773            0.251148            0.150915
                  92             2.91946            0.220311            0.143434
                  93             2.95119            0.189251            0.136935
                  94             2.98293            0.158001            0.131425
                  95             3.01466            0.126592            0.126909
                  96             3.04639            0.095056            0.123392
                  97             3.07813           0.0634239            0.120877
                  98             3.10986           0.0317279            0.119368
                  99             3.14159                   0            0.118864
