            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.83959
                   0                   0                   0            -2.83959
                   1           0.0317333           0.0317279             -2.8401
                   2           0.0634665           0.0634239            -2.84161
                   3           0.0951998            0.095056            -2.84412
                   4            0.126933            0.126592            -2.84764
                   5            0.158666            0.158001            -2.85215
                   6              0.1904            0.189251            -2.85766
                   7            0.222133            0.220311            -2.86416
                   8            0.253866            0.251148            -2.87164
                   9            0.285599            0.281733             -2.8801
                  10            0.317333            0.312033            -2.88952
                  11            0.349066             0.34202             -2.8999
                  12            0.380799            0.371662            -2.91123
                  13            0.412532            0.400931            -2.92348
                  14            0.444266            0.429795            -2.93667
                  15            0.475999            0.458227            -2.95076
                  16            0.507732            0.486197            -2.96574
                  17            0.539465            0.513677            -2.98161
                  18            0.571199            0.540641            -2.99834
                  19            0.602932             0.56706            -3.01592
                  20            0.634665            0.592908            -3.03432
                  21            0.666398            0.618159            -3.05354
                  22            0.698132            0.642788            -3.07355
                  23            0.729865            0.666769            -3.09433
                  24            0.761598            0.690079            -3.11586
                  25            0.793331            0.712694            -3.13812
                  26            0.825065            0.734592            -3.16108
                  27            0.856798             0.75575            -3.18473
                  28            0.888531            0.776146            -3.20904
                  29            0.920265            0.795762            -3.23398
                  30            0.951998            0.814576            -3.25954
                  31            0.983731             0.83257            -3.28567
                  32             1.01546            0.849725            -3.31237
                  33              1.0472            0.866025            -3.33959
                  34             1.07893            0.881453            -3.36732
                  35             1.11066            0.895994            -3.39553
                  36              1.1424            0.909632            -3.42418
                  37             1.17413            0.922354            -3.45325
                  38             1.20586            0.934148            -3.48271
                  39              1.2376            0.945001            -3.51253
                  40             1.26933            0.954902            -3.54267
                  41             1.30106            0.963842            -3.57312
                  42              1.3328            0.971812            -3.60383
                  43             1.36453            0.978802            -3.63479
                  44             1.39626            0.984808            -3.66594
                  45               1.428            0.989821            -3.69728
                  46             1.45973            0.993838            -3.72875
                  47             1.49146            0.996855            -3.76034
                  48              1.5232            0.998867            -3.79201
                  49             1.55493            0.999874            -3.82373
                  50             1.58666            0.999874            -3.85546
                  51              1.6184            0.998867            -3.88718
                  52             1.65013            0.996855            -3.91884
                  53             1.68186            0.993838            -3.95043
                  54              1.7136            0.989821            -3.98191
                  55             1.74533            0.984808            -4.01324
                  56             1.77706            0.978802             -4.0444
                  57              1.8088            0.971812            -4.07535
                  58             1.84053            0.963842            -4.10607
                  59             1.87226            0.954902            -4.13651
                  60               1.904            0.945001            -4.16666
                  61             1.93573            0.934148            -4.19648
                  62             1.96746            0.922354            -4.22594
                  63              1.9992            0.909632            -4.25501
                  64             2.03093            0.895994            -4.28366
                  65             2.06266            0.881453            -4.31186
                  66              2.0944            0.866025            -4.33959
                  67             2.12613            0.849725            -4.36682
                  68             2.15786             0.83257            -4.39351
                  69             2.18959            0.814576            -4.41965
                  70             2.22133            0.795762             -4.4452
                  71             2.25306            0.776146            -4.47015
                  72             2.28479             0.75575            -4.49445
                  73             2.31653            0.734592             -4.5181
                  74             2.34826            0.712694            -4.54107
                  75             2.37999            0.690079            -4.56333
                  76             2.41173            0.666769            -4.58486
                  77             2.44346            0.642788            -4.60564
                  78             2.47519            0.618159            -4.62565
                  79             2.50693            0.592908            -4.64486
                  80             2.53866             0.56706            -4.66327
                  81             2.57039            0.540641            -4.68085
                  82             2.60213            0.513677            -4.69758
                  83             2.63386            0.486197            -4.71344
                  84             2.66559            0.458227            -4.72843
                  85             2.69733            0.429795            -4.74252
                  86             2.72906            0.400931             -4.7557
                  87             2.76079            0.371662            -4.76796
                  88             2.79253             0.34202            -4.77929
                  89             2.82426            0.312033            -4.78966
                  90             2.85599            0.281733            -4.79909
                  91             2.88773            0.251148            -4.80754
                  92             2.91946            0.220311            -4.81502
                  93             2.95119            0.189251            -4.82152
                  94             2.98293            0.158001            -4.82703
                  95             3.01466            0.126592            -4.83155
                  96             3.04639            0.095056            -4.83507
                  97             3.07813           0.0634239            -4.83758
                  98             3.10986           0.0317279            -4.83909
                  99             3.14159                   0            -4.83959
