            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.97938
                   0                   0                   0            -1.97938
                   1           0.0317333           0.0317279            -1.97988
                   2           0.0634665           0.0634239            -1.98139
                   3           0.0951998            0.095056            -1.98391
                   4            0.126933            0.126592            -1.98742
                   5            0.158666            0.158001            -1.99194
                   6              0.1904            0.189251            -1.99745
                   7            0.222133            0.220311            -2.00395
                   8            0.253866            0.251148            -2.01143
                   9            0.285599            0.281733            -2.01989
                  10            0.317333            0.312033            -2.02931
                  11            0.349066             0.34202            -2.03969
                  12            0.380799            0.371662            -2.05101
                  13            0.412532            0.400931            -2.06327
                  14            0.444266            0.429795            -2.07645
                  15            0.475999            0.458227            -2.09054
                  16            0.507732            0.486197            -2.10553
                  17            0.539465            0.513677            -2.12139
                  18            0.571199            0.540641            -2.13812
                  19            0.602932             0.56706             -2.1557
                  20            0.634665            0.592908            -2.17411
                  21            0.666398            0.618159            -2.19333
                  22            0.698132            0.642788            -2.21333
                  23            0.729865            0.666769            -2.23411
                  24            0.761598            0.690079            -2.25564
                  25            0.793331            0.712694             -2.2779
                  26            0.825065            0.734592            -2.30087
                  27            0.856798             0.75575            -2.32452
                  28            0.888531            0.776146            -2.34883
                  29            0.920265            0.795762            -2.37377
                  30            0.951998            0.814576            -2.39932
                  31            0.983731             0.83257            -2.42546
                  32             1.01546            0.849725            -2.45215
                  33              1.0472            0.866025            -2.47938
                  34             1.07893            0.881453            -2.50711
                  35             1.11066            0.895994            -2.53531
                  36              1.1424            0.909632            -2.56396
                  37             1.17413            0.922354            -2.59303
                  38             1.20586            0.934148            -2.62249
                  39              1.2376            0.945001            -2.65231
                  40             1.26933            0.954902            -2.68246
                  41             1.30106            0.963842             -2.7129
                  42              1.3328            0.971812            -2.74362
                  43             1.36453            0.978802            -2.77457
                  44             1.39626            0.984808            -2.80573
                  45               1.428            0.989821            -2.83706
                  46             1.45973            0.993838            -2.86854
                  47             1.49146            0.996855            -2.90013
                  48              1.5232            0.998867             -2.9318
                  49             1.55493            0.999874            -2.96351
                  50             1.58666            0.999874            -2.99524
                  51              1.6184            0.998867            -3.02696
                  52             1.65013            0.996855            -3.05863
                  53             1.68186            0.993838            -3.09022
                  54              1.7136            0.989821            -3.12169
                  55             1.74533            0.984808            -3.15303
                  56             1.77706            0.978802            -3.18418
                  57              1.8088            0.971812            -3.21514
                  58             1.84053            0.963842            -3.24585
                  59             1.87226            0.954902             -3.2763
                  60               1.904            0.945001            -3.30645
                  61             1.93573            0.934148            -3.33626
                  62             1.96746            0.922354            -3.36572
                  63              1.9992            0.909632            -3.39479
                  64             2.03093            0.895994            -3.42344
                  65             2.06266            0.881453            -3.45165
                  66              2.0944            0.866025            -3.47938
                  67             2.12613            0.849725             -3.5066
                  68             2.15786             0.83257             -3.5333
                  69             2.18959            0.814576            -3.55944
                  70             2.22133            0.795762            -3.58499
                  71             2.25306            0.776146            -3.60993
                  72             2.28479             0.75575            -3.63424
                  73             2.31653            0.734592            -3.65789
                  74             2.34826            0.712694            -3.68085
                  75             2.37999            0.690079            -3.70311
                  76             2.41173            0.666769            -3.72464
                  77             2.44346            0.642788            -3.74542
                  78             2.47519            0.618159            -3.76543
                  79             2.50693            0.592908            -3.78465
                  80             2.53866             0.56706            -3.80305
                  81             2.57039            0.540641            -3.82063
                  82             2.60213            0.513677            -3.83736
                  83             2.63386            0.486197            -3.85323
                  84             2.66559            0.458227            -3.86821
                  85             2.69733            0.429795             -3.8823
                  86             2.72906            0.400931            -3.89549
                  87             2.76079            0.371662            -3.90775
                  88             2.79253             0.34202            -3.91907
                  89             2.82426            0.312033            -3.92945
                  90             2.85599            0.281733            -3.93887
                  91             2.88773            0.251148            -3.94733
                  92             2.91946            0.220311            -3.95481
                  93             2.95119            0.189251            -3.96131
                  94             2.98293            0.158001            -3.96682
                  95             3.01466            0.126592            -3.97133
                  96             3.04639            0.095056            -3.97485
                  97             3.07813           0.0634239            -3.97736
                  98             3.10986           0.0317279            -3.97887
                  99             3.14159                   0            -3.97938
