            Interval               Theta              Radial            Vertical
                   0                   0                   0             2.35744
                   0                   0                   0             2.35744
                   1           0.0317333           0.0317279             2.35693
                   2           0.0634665           0.0634239             2.35543
                   3           0.0951998            0.095056             2.35291
                   4            0.126933            0.126592             2.34939
                   5            0.158666            0.158001             2.34488
                   6              0.1904            0.189251             2.33937
                   7            0.222133            0.220311             2.33287
                   8            0.253866            0.251148             2.32539
                   9            0.285599            0.281733             2.31693
                  10            0.317333            0.312033             2.30751
                  11            0.349066             0.34202             2.29713
                  12            0.380799            0.371662             2.28581
                  13            0.412532            0.400931             2.27355
                  14            0.444266            0.429795             2.26036
                  15            0.475999            0.458227             2.24627
                  16            0.507732            0.486197             2.23129
                  17            0.539465            0.513677             2.21542
                  18            0.571199            0.540641             2.19869
                  19            0.602932             0.56706             2.18112
                  20            0.634665            0.592908             2.16271
                  21            0.666398            0.618159             2.14349
                  22            0.698132            0.642788             2.12348
                  23            0.729865            0.666769              2.1027
                  24            0.761598            0.690079             2.08117
                  25            0.793331            0.712694             2.05891
                  26            0.825065            0.734592             2.03595
                  27            0.856798             0.75575              2.0123
                  28            0.888531            0.776146             1.98799
                  29            0.920265            0.795762             1.96305
                  30            0.951998            0.814576              1.9375
                  31            0.983731             0.83257             1.91136
                  32             1.01546            0.849725             1.88466
                  33              1.0472            0.866025             1.85744
                  34             1.07893            0.881453             1.82971
                  35             1.11066            0.895994             1.80151
                  36              1.1424            0.909632             1.77285
                  37             1.17413            0.922354             1.74378
                  38             1.20586            0.934148             1.71432
                  39              1.2376            0.945001             1.68451
                  40             1.26933            0.954902             1.65436
                  41             1.30106            0.963842             1.62391
                  42              1.3328            0.971812              1.5932
                  43             1.36453            0.978802             1.56225
                  44             1.39626            0.984808             1.53109
                  45               1.428            0.989821             1.49975
                  46             1.45973            0.993838             1.46828
                  47             1.49146            0.996855             1.43669
                  48              1.5232            0.998867             1.40502
                  49             1.55493            0.999874              1.3733
                  50             1.58666            0.999874             1.34157
                  51              1.6184            0.998867             1.30986
                  52             1.65013            0.996855             1.27819
                  53             1.68186            0.993838              1.2466
                  54              1.7136            0.989821             1.21512
                  55             1.74533            0.984808             1.18379
                  56             1.77706            0.978802             1.15263
                  57              1.8088            0.971812             1.12168
                  58             1.84053            0.963842             1.09096
                  59             1.87226            0.954902             1.06052
                  60               1.904            0.945001             1.03037
                  61             1.93573            0.934148             1.00055
                  62             1.96746            0.922354            0.971093
                  63              1.9992            0.909632            0.942023
                  64             2.03093            0.895994            0.913372
                  65             2.06266            0.881453            0.885167
                  66              2.0944            0.866025            0.857438
                  67             2.12613            0.849725            0.830213
                  68             2.15786             0.83257            0.803518
                  69             2.18959            0.814576            0.777382
                  70             2.22133            0.795762            0.751829
                  71             2.25306            0.776146            0.726886
                  72             2.28479             0.75575            0.702578
                  73             2.31653            0.734592            0.678929
                  74             2.34826            0.712694            0.655964
                  75             2.37999            0.690079            0.633704
                  76             2.41173            0.666769            0.612174
                  77             2.44346            0.642788            0.591394
                  78             2.47519            0.618159            0.571385
                  79             2.50693            0.592908            0.552168
                  80             2.53866             0.56706            0.533762
                  81             2.57039            0.540641            0.516185
                  82             2.60213            0.513677            0.499455
                  83             2.63386            0.486197            0.483589
                  84             2.66559            0.458227            0.468603
                  85             2.69733            0.429795            0.454512
                  86             2.72906            0.400931             0.44133
                  87             2.76079            0.371662             0.42907
                  88             2.79253             0.34202            0.417746
                  89             2.82426            0.312033            0.407367
                  90             2.85599            0.281733            0.397945
                  91             2.88773            0.251148             0.38949
                  92             2.91946            0.220311            0.382009
                  93             2.95119            0.189251             0.37551
                  94             2.98293            0.158001                0.37
                  95             3.01466            0.126592            0.365484
                  96             3.04639            0.095056            0.361967
                  97             3.07813           0.0634239            0.359452
                  98             3.10986           0.0317279            0.357942
                  99             3.14159                   0            0.357438
