            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.05271
                   0                   0                   0             3.05271
                   1           0.0317333           0.0317279              3.0522
                   2           0.0634665           0.0634239             3.05069
                   3           0.0951998            0.095056             3.04818
                   4            0.126933            0.126592             3.04466
                   5            0.158666            0.158001             3.04015
                   6              0.1904            0.189251             3.03464
                   7            0.222133            0.220311             3.02814
                   8            0.253866            0.251148             3.02066
                   9            0.285599            0.281733              3.0122
                  10            0.317333            0.312033             3.00278
                  11            0.349066             0.34202              2.9924
                  12            0.380799            0.371662             2.98107
                  13            0.412532            0.400931             2.96882
                  14            0.444266            0.429795             2.95563
                  15            0.475999            0.458227             2.94154
                  16            0.507732            0.486197             2.92656
                  17            0.539465            0.513677             2.91069
                  18            0.571199            0.540641             2.89396
                  19            0.602932             0.56706             2.87638
                  20            0.634665            0.592908             2.85798
                  21            0.666398            0.618159             2.83876
                  22            0.698132            0.642788             2.81875
                  23            0.729865            0.666769             2.79797
                  24            0.761598            0.690079             2.77644
                  25            0.793331            0.712694             2.75418
                  26            0.825065            0.734592             2.73122
                  27            0.856798             0.75575             2.70757
                  28            0.888531            0.776146             2.68326
                  29            0.920265            0.795762             2.65832
                  30            0.951998            0.814576             2.63276
                  31            0.983731             0.83257             2.60663
                  32             1.01546            0.849725             2.57993
                  33              1.0472            0.866025             2.55271
                  34             1.07893            0.881453             2.52498
                  35             1.11066            0.895994             2.49677
                  36              1.1424            0.909632             2.46812
                  37             1.17413            0.922354             2.43905
                  38             1.20586            0.934148             2.40959
                  39              1.2376            0.945001             2.37977
                  40             1.26933            0.954902             2.34963
                  41             1.30106            0.963842             2.31918
                  42              1.3328            0.971812             2.28847
                  43             1.36453            0.978802             2.25751
                  44             1.39626            0.984808             2.22636
                  45               1.428            0.989821             2.19502
                  46             1.45973            0.993838             2.16355
                  47             1.49146            0.996855             2.13196
                  48              1.5232            0.998867             2.10029
                  49             1.55493            0.999874             2.06857
                  50             1.58666            0.999874             2.03684
                  51              1.6184            0.998867             2.00512
                  52             1.65013            0.996855             1.97346
                  53             1.68186            0.993838             1.94187
                  54              1.7136            0.989821             1.91039
                  55             1.74533            0.984808             1.87906
                  56             1.77706            0.978802              1.8479
                  57              1.8088            0.971812             1.81695
                  58             1.84053            0.963842             1.78623
                  59             1.87226            0.954902             1.75579
                  60               1.904            0.945001             1.72564
                  61             1.93573            0.934148             1.69582
                  62             1.96746            0.922354             1.66636
                  63              1.9992            0.909632             1.63729
                  64             2.03093            0.895994             1.60864
                  65             2.06266            0.881453             1.58044
                  66              2.0944            0.866025             1.55271
                  67             2.12613            0.849725             1.52548
                  68             2.15786             0.83257             1.49879
                  69             2.18959            0.814576             1.47265
                  70             2.22133            0.795762              1.4471
                  71             2.25306            0.776146             1.42215
                  72             2.28479             0.75575             1.39785
                  73             2.31653            0.734592              1.3742
                  74             2.34826            0.712694             1.35123
                  75             2.37999            0.690079             1.32897
                  76             2.41173            0.666769             1.30744
                  77             2.44346            0.642788             1.28666
                  78             2.47519            0.618159             1.26665
                  79             2.50693            0.592908             1.24744
                  80             2.53866             0.56706             1.22903
                  81             2.57039            0.540641             1.21145
                  82             2.60213            0.513677             1.19472
                  83             2.63386            0.486197             1.17886
                  84             2.66559            0.458227             1.16387
                  85             2.69733            0.429795             1.14978
                  86             2.72906            0.400931              1.1366
                  87             2.76079            0.371662             1.12434
                  88             2.79253             0.34202             1.11301
                  89             2.82426            0.312033             1.10264
                  90             2.85599            0.281733             1.09321
                  91             2.88773            0.251148             1.08476
                  92             2.91946            0.220311             1.07728
                  93             2.95119            0.189251             1.07078
                  94             2.98293            0.158001             1.06527
                  95             3.01466            0.126592             1.06075
                  96             3.04639            0.095056             1.05723
                  97             3.07813           0.0634239             1.05472
                  98             3.10986           0.0317279             1.05321
                  99             3.14159                   0             1.05271
