            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.14386
                   0                   0                   0            -2.14386
                   1           0.0317333           0.0317279            -2.14436
                   2           0.0634665           0.0634239            -2.14587
                   3           0.0951998            0.095056            -2.14839
                   4            0.126933            0.126592             -2.1519
                   5            0.158666            0.158001            -2.15642
                   6              0.1904            0.189251            -2.16193
                   7            0.222133            0.220311            -2.16843
                   8            0.253866            0.251148            -2.17591
                   9            0.285599            0.281733            -2.18437
                  10            0.317333            0.312033            -2.19379
                  11            0.349066             0.34202            -2.20417
                  12            0.380799            0.371662            -2.21549
                  13            0.412532            0.400931            -2.22775
                  14            0.444266            0.429795            -2.24093
                  15            0.475999            0.458227            -2.25502
                  16            0.507732            0.486197            -2.27001
                  17            0.539465            0.513677            -2.28588
                  18            0.571199            0.540641             -2.3026
                  19            0.602932             0.56706            -2.32018
                  20            0.634665            0.592908            -2.33859
                  21            0.666398            0.618159            -2.35781
                  22            0.698132            0.642788            -2.37781
                  23            0.729865            0.666769            -2.39859
                  24            0.761598            0.690079            -2.42012
                  25            0.793331            0.712694            -2.44238
                  26            0.825065            0.734592            -2.46535
                  27            0.856798             0.75575              -2.489
                  28            0.888531            0.776146            -2.51331
                  29            0.920265            0.795762            -2.53825
                  30            0.951998            0.814576             -2.5638
                  31            0.983731             0.83257            -2.58994
                  32             1.01546            0.849725            -2.61663
                  33              1.0472            0.866025            -2.64386
                  34             1.07893            0.881453            -2.67159
                  35             1.11066            0.895994            -2.69979
                  36              1.1424            0.909632            -2.72844
                  37             1.17413            0.922354            -2.75751
                  38             1.20586            0.934148            -2.78697
                  39              1.2376            0.945001            -2.81679
                  40             1.26933            0.954902            -2.84694
                  41             1.30106            0.963842            -2.87738
                  42              1.3328            0.971812             -2.9081
                  43             1.36453            0.978802            -2.93905
                  44             1.39626            0.984808            -2.97021
                  45               1.428            0.989821            -3.00154
                  46             1.45973            0.993838            -3.03302
                  47             1.49146            0.996855            -3.06461
                  48              1.5232            0.998867            -3.09628
                  49             1.55493            0.999874            -3.12799
                  50             1.58666            0.999874            -3.15972
                  51              1.6184            0.998867            -3.19144
                  52             1.65013            0.996855            -3.22311
                  53             1.68186            0.993838             -3.2547
                  54              1.7136            0.989821            -3.28617
                  55             1.74533            0.984808            -3.31751
                  56             1.77706            0.978802            -3.34867
                  57              1.8088            0.971812            -3.37962
                  58             1.84053            0.963842            -3.41033
                  59             1.87226            0.954902            -3.44078
                  60               1.904            0.945001            -3.47093
                  61             1.93573            0.934148            -3.50074
                  62             1.96746            0.922354             -3.5302
                  63              1.9992            0.909632            -3.55927
                  64             2.03093            0.895994            -3.58793
                  65             2.06266            0.881453            -3.61613
                  66              2.0944            0.866025            -3.64386
                  67             2.12613            0.849725            -3.67108
                  68             2.15786             0.83257            -3.69778
                  69             2.18959            0.814576            -3.72392
                  70             2.22133            0.795762            -3.74947
                  71             2.25306            0.776146            -3.77441
                  72             2.28479             0.75575            -3.79872
                  73             2.31653            0.734592            -3.82237
                  74             2.34826            0.712694            -3.84533
                  75             2.37999            0.690079            -3.86759
                  76             2.41173            0.666769            -3.88912
                  77             2.44346            0.642788             -3.9099
                  78             2.47519            0.618159            -3.92991
                  79             2.50693            0.592908            -3.94913
                  80             2.53866             0.56706            -3.96754
                  81             2.57039            0.540641            -3.98511
                  82             2.60213            0.513677            -4.00184
                  83             2.63386            0.486197            -4.01771
                  84             2.66559            0.458227            -4.03269
                  85             2.69733            0.429795            -4.04679
                  86             2.72906            0.400931            -4.05997
                  87             2.76079            0.371662            -4.07223
                  88             2.79253             0.34202            -4.08355
                  89             2.82426            0.312033            -4.09393
                  90             2.85599            0.281733            -4.10335
                  91             2.88773            0.251148            -4.11181
                  92             2.91946            0.220311            -4.11929
                  93             2.95119            0.189251            -4.12579
                  94             2.98293            0.158001             -4.1313
                  95             3.01466            0.126592            -4.13581
                  96             3.04639            0.095056            -4.13933
                  97             3.07813           0.0634239            -4.14185
                  98             3.10986           0.0317279            -4.14336
                  99             3.14159                   0            -4.14386
