            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.91022
                   0                   0                   0             3.91022
                   1           0.0317333           0.0317279             3.90972
                   2           0.0634665           0.0634239             3.90821
                   3           0.0951998            0.095056             3.90569
                   4            0.126933            0.126592             3.90217
                   5            0.158666            0.158001             3.89766
                   6              0.1904            0.189251             3.89215
                   7            0.222133            0.220311             3.88565
                   8            0.253866            0.251148             3.87817
                   9            0.285599            0.281733             3.86971
                  10            0.317333            0.312033             3.86029
                  11            0.349066             0.34202             3.84991
                  12            0.380799            0.371662             3.83859
                  13            0.412532            0.400931             3.82633
                  14            0.444266            0.429795             3.81315
                  15            0.475999            0.458227             3.79905
                  16            0.507732            0.486197             3.78407
                  17            0.539465            0.513677              3.7682
                  18            0.571199            0.540641             3.75147
                  19            0.602932             0.56706              3.7339
                  20            0.634665            0.592908             3.71549
                  21            0.666398            0.618159             3.69627
                  22            0.698132            0.642788             3.67626
                  23            0.729865            0.666769             3.65548
                  24            0.761598            0.690079             3.63395
                  25            0.793331            0.712694             3.61169
                  26            0.825065            0.734592             3.58873
                  27            0.856798             0.75575             3.56508
                  28            0.888531            0.776146             3.54077
                  29            0.920265            0.795762             3.51583
                  30            0.951998            0.814576             3.49028
                  31            0.983731             0.83257             3.46414
                  32             1.01546            0.849725             3.43744
                  33              1.0472            0.866025             3.41022
                  34             1.07893            0.881453             3.38249
                  35             1.11066            0.895994             3.35429
                  36              1.1424            0.909632             3.32563
                  37             1.17413            0.922354             3.29656
                  38             1.20586            0.934148             3.26711
                  39              1.2376            0.945001             3.23729
                  40             1.26933            0.954902             3.20714
                  41             1.30106            0.963842             3.17669
                  42              1.3328            0.971812             3.14598
                  43             1.36453            0.978802             3.11503
                  44             1.39626            0.984808             3.08387
                  45               1.428            0.989821             3.05253
                  46             1.45973            0.993838             3.02106
                  47             1.49146            0.996855             2.98947
                  48              1.5232            0.998867              2.9578
                  49             1.55493            0.999874             2.92608
                  50             1.58666            0.999874             2.89435
                  51              1.6184            0.998867             2.86264
                  52             1.65013            0.996855             2.83097
                  53             1.68186            0.993838             2.79938
                  54              1.7136            0.989821              2.7679
                  55             1.74533            0.984808             2.73657
                  56             1.77706            0.978802             2.70541
                  57              1.8088            0.971812             2.67446
                  58             1.84053            0.963842             2.64375
                  59             1.87226            0.954902              2.6133
                  60               1.904            0.945001             2.58315
                  61             1.93573            0.934148             2.55333
                  62             1.96746            0.922354             2.52387
                  63              1.9992            0.909632              2.4948
                  64             2.03093            0.895994             2.46615
                  65             2.06266            0.881453             2.43795
                  66              2.0944            0.866025             2.41022
                  67             2.12613            0.849725             2.38299
                  68             2.15786             0.83257              2.3563
                  69             2.18959            0.814576             2.33016
                  70             2.22133            0.795762             2.30461
                  71             2.25306            0.776146             2.27967
                  72             2.28479             0.75575             2.25536
                  73             2.31653            0.734592             2.23171
                  74             2.34826            0.712694             2.20874
                  75             2.37999            0.690079             2.18648
                  76             2.41173            0.666769             2.16495
                  77             2.44346            0.642788             2.14417
                  78             2.47519            0.618159             2.12417
                  79             2.50693            0.592908             2.10495
                  80             2.53866             0.56706             2.08654
                  81             2.57039            0.540641             2.06897
                  82             2.60213            0.513677             2.05224
                  83             2.63386            0.486197             2.03637
                  84             2.66559            0.458227             2.02138
                  85             2.69733            0.429795             2.00729
                  86             2.72906            0.400931             1.99411
                  87             2.76079            0.371662             1.98185
                  88             2.79253             0.34202             1.97053
                  89             2.82426            0.312033             1.96015
                  90             2.85599            0.281733             1.95073
                  91             2.88773            0.251148             1.94227
                  92             2.91946            0.220311             1.93479
                  93             2.95119            0.189251             1.92829
                  94             2.98293            0.158001             1.92278
                  95             3.01466            0.126592             1.91826
                  96             3.04639            0.095056             1.91475
                  97             3.07813           0.0634239             1.91223
                  98             3.10986           0.0317279             1.91072
                  99             3.14159                   0             1.91022
