            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.78696
                   0                   0                   0            -1.78696
                   1           0.0317333           0.0317279            -1.78746
                   2           0.0634665           0.0634239            -1.78897
                   3           0.0951998            0.095056            -1.79149
                   4            0.126933            0.126592            -1.79501
                   5            0.158666            0.158001            -1.79952
                   6              0.1904            0.189251            -1.80503
                   7            0.222133            0.220311            -1.81153
                   8            0.253866            0.251148            -1.81901
                   9            0.285599            0.281733            -1.82747
                  10            0.317333            0.312033            -1.83689
                  11            0.349066             0.34202            -1.84727
                  12            0.380799            0.371662            -1.85859
                  13            0.412532            0.400931            -1.87085
                  14            0.444266            0.429795            -1.88403
                  15            0.475999            0.458227            -1.89813
                  16            0.507732            0.486197            -1.91311
                  17            0.539465            0.513677            -1.92898
                  18            0.571199            0.540641            -1.94571
                  19            0.602932             0.56706            -1.96328
                  20            0.634665            0.592908            -1.98169
                  21            0.666398            0.618159            -2.00091
                  22            0.698132            0.642788            -2.02092
                  23            0.729865            0.666769             -2.0417
                  24            0.761598            0.690079            -2.06323
                  25            0.793331            0.712694            -2.08549
                  26            0.825065            0.734592            -2.10845
                  27            0.856798             0.75575             -2.1321
                  28            0.888531            0.776146            -2.15641
                  29            0.920265            0.795762            -2.18135
                  30            0.951998            0.814576             -2.2069
                  31            0.983731             0.83257            -2.23304
                  32             1.01546            0.849725            -2.25974
                  33              1.0472            0.866025            -2.28696
                  34             1.07893            0.881453            -2.31469
                  35             1.11066            0.895994            -2.34289
                  36              1.1424            0.909632            -2.37155
                  37             1.17413            0.922354            -2.40062
                  38             1.20586            0.934148            -2.43007
                  39              1.2376            0.945001            -2.45989
                  40             1.26933            0.954902            -2.49004
                  41             1.30106            0.963842            -2.52049
                  42              1.3328            0.971812             -2.5512
                  43             1.36453            0.978802            -2.58215
                  44             1.39626            0.984808            -2.61331
                  45               1.428            0.989821            -2.64465
                  46             1.45973            0.993838            -2.67612
                  47             1.49146            0.996855            -2.70771
                  48              1.5232            0.998867            -2.73938
                  49             1.55493            0.999874             -2.7711
                  50             1.58666            0.999874            -2.80283
                  51              1.6184            0.998867            -2.83454
                  52             1.65013            0.996855            -2.86621
                  53             1.68186            0.993838             -2.8978
                  54              1.7136            0.989821            -2.92928
                  55             1.74533            0.984808            -2.96061
                  56             1.77706            0.978802            -2.99177
                  57              1.8088            0.971812            -3.02272
                  58             1.84053            0.963842            -3.05343
                  59             1.87226            0.954902            -3.08388
                  60               1.904            0.945001            -3.11403
                  61             1.93573            0.934148            -3.14385
                  62             1.96746            0.922354            -3.17331
                  63              1.9992            0.909632            -3.20238
                  64             2.03093            0.895994            -3.23103
                  65             2.06266            0.881453            -3.25923
                  66              2.0944            0.866025            -3.28696
                  67             2.12613            0.849725            -3.31419
                  68             2.15786             0.83257            -3.34088
                  69             2.18959            0.814576            -3.36702
                  70             2.22133            0.795762            -3.39257
                  71             2.25306            0.776146            -3.41751
                  72             2.28479             0.75575            -3.44182
                  73             2.31653            0.734592            -3.46547
                  74             2.34826            0.712694            -3.48844
                  75             2.37999            0.690079             -3.5107
                  76             2.41173            0.666769            -3.53223
                  77             2.44346            0.642788            -3.55301
                  78             2.47519            0.618159            -3.57301
                  79             2.50693            0.592908            -3.59223
                  80             2.53866             0.56706            -3.61064
                  81             2.57039            0.540641            -3.62821
                  82             2.60213            0.513677            -3.64494
                  83             2.63386            0.486197            -3.66081
                  84             2.66559            0.458227             -3.6758
                  85             2.69733            0.429795            -3.68989
                  86             2.72906            0.400931            -3.70307
                  87             2.76079            0.371662            -3.71533
                  88             2.79253             0.34202            -3.72665
                  89             2.82426            0.312033            -3.73703
                  90             2.85599            0.281733            -3.74645
                  91             2.88773            0.251148            -3.75491
                  92             2.91946            0.220311            -3.76239
                  93             2.95119            0.189251            -3.76889
                  94             2.98293            0.158001             -3.7744
                  95             3.01466            0.126592            -3.77892
                  96             3.04639            0.095056            -3.78243
                  97             3.07813           0.0634239            -3.78495
                  98             3.10986           0.0317279            -3.78646
                  99             3.14159                   0            -3.78696
