            Interval               Theta              Radial            Vertical
                   0                   0                   0            -3.05178
                   0                   0                   0            -3.05178
                   1           0.0317333           0.0317279            -3.05228
                   2           0.0634665           0.0634239            -3.05379
                   3           0.0951998            0.095056             -3.0563
                   4            0.126933            0.126592            -3.05982
                   5            0.158666            0.158001            -3.06434
                   6              0.1904            0.189251            -3.06985
                   7            0.222133            0.220311            -3.07635
                   8            0.253866            0.251148            -3.08383
                   9            0.285599            0.281733            -3.09228
                  10            0.317333            0.312033             -3.1017
                  11            0.349066             0.34202            -3.11208
                  12            0.380799            0.371662            -3.12341
                  13            0.412532            0.400931            -3.13567
                  14            0.444266            0.429795            -3.14885
                  15            0.475999            0.458227            -3.16294
                  16            0.507732            0.486197            -3.17793
                  17            0.539465            0.513677            -3.19379
                  18            0.571199            0.540641            -3.21052
                  19            0.602932             0.56706             -3.2281
                  20            0.634665            0.592908            -3.24651
                  21            0.666398            0.618159            -3.26572
                  22            0.698132            0.642788            -3.28573
                  23            0.729865            0.666769            -3.30651
                  24            0.761598            0.690079            -3.32804
                  25            0.793331            0.712694             -3.3503
                  26            0.825065            0.734592            -3.37327
                  27            0.856798             0.75575            -3.39691
                  28            0.888531            0.776146            -3.42122
                  29            0.920265            0.795762            -3.44617
                  30            0.951998            0.814576            -3.47172
                  31            0.983731             0.83257            -3.49786
                  32             1.01546            0.849725            -3.52455
                  33              1.0472            0.866025            -3.55178
                  34             1.07893            0.881453             -3.5795
                  35             1.11066            0.895994            -3.60771
                  36              1.1424            0.909632            -3.63636
                  37             1.17413            0.922354            -3.66543
                  38             1.20586            0.934148            -3.69489
                  39              1.2376            0.945001            -3.72471
                  40             1.26933            0.954902            -3.75486
                  41             1.30106            0.963842             -3.7853
                  42              1.3328            0.971812            -3.81602
                  43             1.36453            0.978802            -3.84697
                  44             1.39626            0.984808            -3.87813
                  45               1.428            0.989821            -3.90946
                  46             1.45973            0.993838            -3.94094
                  47             1.49146            0.996855            -3.97253
                  48              1.5232            0.998867            -4.00419
                  49             1.55493            0.999874            -4.03591
                  50             1.58666            0.999874            -4.06764
                  51              1.6184            0.998867            -4.09936
                  52             1.65013            0.996855            -4.13103
                  53             1.68186            0.993838            -4.16261
                  54              1.7136            0.989821            -4.19409
                  55             1.74533            0.984808            -4.22542
                  56             1.77706            0.978802            -4.25658
                  57              1.8088            0.971812            -4.28753
                  58             1.84053            0.963842            -4.31825
                  59             1.87226            0.954902             -4.3487
                  60               1.904            0.945001            -4.37884
                  61             1.93573            0.934148            -4.40866
                  62             1.96746            0.922354            -4.43812
                  63              1.9992            0.909632            -4.46719
                  64             2.03093            0.895994            -4.49584
                  65             2.06266            0.881453            -4.52405
                  66              2.0944            0.866025            -4.55178
                  67             2.12613            0.849725              -4.579
                  68             2.15786             0.83257             -4.6057
                  69             2.18959            0.814576            -4.63183
                  70             2.22133            0.795762            -4.65739
                  71             2.25306            0.776146            -4.68233
                  72             2.28479             0.75575            -4.70664
                  73             2.31653            0.734592            -4.73028
                  74             2.34826            0.712694            -4.75325
                  75             2.37999            0.690079            -4.77551
                  76             2.41173            0.666769            -4.79704
                  77             2.44346            0.642788            -4.81782
                  78             2.47519            0.618159            -4.83783
                  79             2.50693            0.592908            -4.85705
                  80             2.53866             0.56706            -4.87545
                  81             2.57039            0.540641            -4.89303
                  82             2.60213            0.513677            -4.90976
                  83             2.63386            0.486197            -4.92562
                  84             2.66559            0.458227            -4.94061
                  85             2.69733            0.429795             -4.9547
                  86             2.72906            0.400931            -4.96788
                  87             2.76079            0.371662            -4.98014
                  88             2.79253             0.34202            -4.99147
                  89             2.82426            0.312033            -5.00185
                  90             2.85599            0.281733            -5.01127
                  91             2.88773            0.251148            -5.01972
                  92             2.91946            0.220311            -5.02721
                  93             2.95119            0.189251             -5.0337
                  94             2.98293            0.158001            -5.03921
                  95             3.01466            0.126592            -5.04373
                  96             3.04639            0.095056            -5.04725
                  97             3.07813           0.0634239            -5.04976
                  98             3.10986           0.0317279            -5.05127
                  99             3.14159                   0            -5.05178
