            Interval               Theta              Radial            Vertical
                   0                   0                   0           -0.774291
                   0                   0                   0           -0.774291
                   1           0.0317333           0.0317279           -0.774795
                   2           0.0634665           0.0634239           -0.776305
                   3           0.0951998            0.095056           -0.778819
                   4            0.126933            0.126592           -0.782336
                   5            0.158666            0.158001           -0.786852
                   6              0.1904            0.189251           -0.792362
                   7            0.222133            0.220311           -0.798861
                   8            0.253866            0.251148           -0.806342
                   9            0.285599            0.281733           -0.814798
                  10            0.317333            0.312033            -0.82422
                  11            0.349066             0.34202           -0.834599
                  12            0.380799            0.371662           -0.845923
                  13            0.412532            0.400931           -0.858183
                  14            0.444266            0.429795           -0.871365
                  15            0.475999            0.458227           -0.885456
                  16            0.507732            0.486197           -0.900442
                  17            0.539465            0.513677           -0.916308
                  18            0.571199            0.540641           -0.933038
                  19            0.602932             0.56706           -0.950615
                  20            0.634665            0.592908           -0.969021
                  21            0.666398            0.618159           -0.988238
                  22            0.698132            0.642788            -1.00825
                  23            0.729865            0.666769            -1.02903
                  24            0.761598            0.690079            -1.05056
                  25            0.793331            0.712694            -1.07282
                  26            0.825065            0.734592            -1.09578
                  27            0.856798             0.75575            -1.11943
                  28            0.888531            0.776146            -1.14374
                  29            0.920265            0.795762            -1.16868
                  30            0.951998            0.814576            -1.19423
                  31            0.983731             0.83257            -1.22037
                  32             1.01546            0.849725            -1.24707
                  33              1.0472            0.866025            -1.27429
                  34             1.07893            0.881453            -1.30202
                  35             1.11066            0.895994            -1.33022
                  36              1.1424            0.909632            -1.35888
                  37             1.17413            0.922354            -1.38795
                  38             1.20586            0.934148             -1.4174
                  39              1.2376            0.945001            -1.44722
                  40             1.26933            0.954902            -1.47737
                  41             1.30106            0.963842            -1.50782
                  42              1.3328            0.971812            -1.53853
                  43             1.36453            0.978802            -1.56948
                  44             1.39626            0.984808            -1.60064
                  45               1.428            0.989821            -1.63198
                  46             1.45973            0.993838            -1.66345
                  47             1.49146            0.996855            -1.69504
                  48              1.5232            0.998867            -1.72671
                  49             1.55493            0.999874            -1.75843
                  50             1.58666            0.999874            -1.79016
                  51              1.6184            0.998867            -1.82187
                  52             1.65013            0.996855            -1.85354
                  53             1.68186            0.993838            -1.88513
                  54              1.7136            0.989821            -1.91661
                  55             1.74533            0.984808            -1.94794
                  56             1.77706            0.978802             -1.9791
                  57              1.8088            0.971812            -2.01005
                  58             1.84053            0.963842            -2.04076
                  59             1.87226            0.954902            -2.07121
                  60               1.904            0.945001            -2.10136
                  61             1.93573            0.934148            -2.13118
                  62             1.96746            0.922354            -2.16064
                  63              1.9992            0.909632            -2.18971
                  64             2.03093            0.895994            -2.21836
                  65             2.06266            0.881453            -2.24656
                  66              2.0944            0.866025            -2.27429
                  67             2.12613            0.849725            -2.30152
                  68             2.15786             0.83257            -2.32821
                  69             2.18959            0.814576            -2.35435
                  70             2.22133            0.795762             -2.3799
                  71             2.25306            0.776146            -2.40484
                  72             2.28479             0.75575            -2.42915
                  73             2.31653            0.734592             -2.4528
                  74             2.34826            0.712694            -2.47577
                  75             2.37999            0.690079            -2.49803
                  76             2.41173            0.666769            -2.51956
                  77             2.44346            0.642788            -2.54034
                  78             2.47519            0.618159            -2.56034
                  79             2.50693            0.592908            -2.57956
                  80             2.53866             0.56706            -2.59797
                  81             2.57039            0.540641            -2.61554
                  82             2.60213            0.513677            -2.63227
                  83             2.63386            0.486197            -2.64814
                  84             2.66559            0.458227            -2.66313
                  85             2.69733            0.429795            -2.67722
                  86             2.72906            0.400931             -2.6904
                  87             2.76079            0.371662            -2.70266
                  88             2.79253             0.34202            -2.71398
                  89             2.82426            0.312033            -2.72436
                  90             2.85599            0.281733            -2.73378
                  91             2.88773            0.251148            -2.74224
                  92             2.91946            0.220311            -2.74972
                  93             2.95119            0.189251            -2.75622
                  94             2.98293            0.158001            -2.76173
                  95             3.01466            0.126592            -2.76625
                  96             3.04639            0.095056            -2.76976
                  97             3.07813           0.0634239            -2.77228
                  98             3.10986           0.0317279            -2.77379
                  99             3.14159                   0            -2.77429
