            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.78689
                   0                   0                   0             1.78689
                   1           0.0317333           0.0317279             1.78638
                   2           0.0634665           0.0634239             1.78487
                   3           0.0951998            0.095056             1.78236
                   4            0.126933            0.126592             1.77884
                   5            0.158666            0.158001             1.77432
                   6              0.1904            0.189251             1.76881
                   7            0.222133            0.220311             1.76232
                   8            0.253866            0.251148             1.75483
                   9            0.285599            0.281733             1.74638
                  10            0.317333            0.312033             1.73696
                  11            0.349066             0.34202             1.72658
                  12            0.380799            0.371662             1.71525
                  13            0.412532            0.400931             1.70299
                  14            0.444266            0.429795             1.68981
                  15            0.475999            0.458227             1.67572
                  16            0.507732            0.486197             1.66073
                  17            0.539465            0.513677             1.64487
                  18            0.571199            0.540641             1.62814
                  19            0.602932             0.56706             1.61056
                  20            0.634665            0.592908             1.59216
                  21            0.666398            0.618159             1.57294
                  22            0.698132            0.642788             1.55293
                  23            0.729865            0.666769             1.53215
                  24            0.761598            0.690079             1.51062
                  25            0.793331            0.712694             1.48836
                  26            0.825065            0.734592             1.46539
                  27            0.856798             0.75575             1.44175
                  28            0.888531            0.776146             1.41744
                  29            0.920265            0.795762             1.39249
                  30            0.951998            0.814576             1.36694
                  31            0.983731             0.83257             1.34081
                  32             1.01546            0.849725             1.31411
                  33              1.0472            0.866025             1.28689
                  34             1.07893            0.881453             1.25916
                  35             1.11066            0.895994             1.23095
                  36              1.1424            0.909632              1.2023
                  37             1.17413            0.922354             1.17323
                  38             1.20586            0.934148             1.14377
                  39              1.2376            0.945001             1.11395
                  40             1.26933            0.954902             1.08381
                  41             1.30106            0.963842             1.05336
                  42              1.3328            0.971812             1.02264
                  43             1.36453            0.978802            0.991692
                  44             1.39626            0.984808            0.960533
                  45               1.428            0.989821              0.9292
                  46             1.45973            0.993838            0.897723
                  47             1.49146            0.996855            0.866135
                  48              1.5232            0.998867            0.834467
                  49             1.55493            0.999874            0.802751
                  50             1.58666            0.999874            0.771019
                  51              1.6184            0.998867            0.739303
                  52             1.65013            0.996855            0.707635
                  53             1.68186            0.993838            0.676047
                  54              1.7136            0.989821             0.64457
                  55             1.74533            0.984808            0.613237
                  56             1.77706            0.978802            0.582079
                  57              1.8088            0.971812            0.551126
                  58             1.84053            0.963842            0.520411
                  59             1.87226            0.954902            0.489965
                  60               1.904            0.945001            0.459817
                  61             1.93573            0.934148            0.429999
                  62             1.96746            0.922354             0.40054
                  63              1.9992            0.909632             0.37147
                  64             2.03093            0.895994            0.342819
                  65             2.06266            0.881453            0.314614
                  66              2.0944            0.866025            0.286885
                  67             2.12613            0.849725             0.25966
                  68             2.15786             0.83257            0.232965
                  69             2.18959            0.814576            0.206828
                  70             2.22133            0.795762            0.181276
                  71             2.25306            0.776146            0.156333
                  72             2.28479             0.75575            0.132025
                  73             2.31653            0.734592            0.108376
                  74             2.34826            0.712694           0.0854104
                  75             2.37999            0.690079           0.0631513
                  76             2.41173            0.666769           0.0416208
                  77             2.44346            0.642788           0.0208409
                  78             2.47519            0.618159         0.000832204
                  79             2.50693            0.592908           -0.018385
                  80             2.53866             0.56706          -0.0367913
                  81             2.57039            0.540641          -0.0543682
                  82             2.60213            0.513677          -0.0710981
                  83             2.63386            0.486197          -0.0869641
                  84             2.66559            0.458227            -0.10195
                  85             2.69733            0.429795           -0.116041
                  86             2.72906            0.400931           -0.129223
                  87             2.76079            0.371662           -0.141483
                  88             2.79253             0.34202           -0.152807
                  89             2.82426            0.312033           -0.163186
                  90             2.85599            0.281733           -0.172608
                  91             2.88773            0.251148           -0.181063
                  92             2.91946            0.220311           -0.188544
                  93             2.95119            0.189251           -0.195043
                  94             2.98293            0.158001           -0.200554
                  95             3.01466            0.126592            -0.20507
                  96             3.04639            0.095056           -0.208587
                  97             3.07813           0.0634239           -0.211101
                  98             3.10986           0.0317279           -0.212611
                  99             3.14159                   0           -0.213115
