            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.88016
                   0                   0                   0             3.88016
                   1           0.0317333           0.0317279             3.87966
                   2           0.0634665           0.0634239             3.87815
                   3           0.0951998            0.095056             3.87564
                   4            0.126933            0.126592             3.87212
                   5            0.158666            0.158001              3.8676
                   6              0.1904            0.189251             3.86209
                   7            0.222133            0.220311             3.85559
                   8            0.253866            0.251148             3.84811
                   9            0.285599            0.281733             3.83966
                  10            0.317333            0.312033             3.83024
                  11            0.349066             0.34202             3.81986
                  12            0.380799            0.371662             3.80853
                  13            0.412532            0.400931             3.79627
                  14            0.444266            0.429795             3.78309
                  15            0.475999            0.458227               3.769
                  16            0.507732            0.486197             3.75401
                  17            0.539465            0.513677             3.73815
                  18            0.571199            0.540641             3.72142
                  19            0.602932             0.56706             3.70384
                  20            0.634665            0.592908             3.68544
                  21            0.666398            0.618159             3.66622
                  22            0.698132            0.642788             3.64621
                  23            0.729865            0.666769             3.62543
                  24            0.761598            0.690079              3.6039
                  25            0.793331            0.712694             3.58164
                  26            0.825065            0.734592             3.55867
                  27            0.856798             0.75575             3.53503
                  28            0.888531            0.776146             3.51072
                  29            0.920265            0.795762             3.48577
                  30            0.951998            0.814576             3.46022
                  31            0.983731             0.83257             3.43408
                  32             1.01546            0.849725             3.40739
                  33              1.0472            0.866025             3.38016
                  34             1.07893            0.881453             3.35244
                  35             1.11066            0.895994             3.32423
                  36              1.1424            0.909632             3.29558
                  37             1.17413            0.922354             3.26651
                  38             1.20586            0.934148             3.23705
                  39              1.2376            0.945001             3.20723
                  40             1.26933            0.954902             3.17709
                  41             1.30106            0.963842             3.14664
                  42              1.3328            0.971812             3.11592
                  43             1.36453            0.978802             3.08497
                  44             1.39626            0.984808             3.05381
                  45               1.428            0.989821             3.02248
                  46             1.45973            0.993838               2.991
                  47             1.49146            0.996855             2.95941
                  48              1.5232            0.998867             2.92775
                  49             1.55493            0.999874             2.89603
                  50             1.58666            0.999874              2.8643
                  51              1.6184            0.998867             2.83258
                  52             1.65013            0.996855             2.80091
                  53             1.68186            0.993838             2.76933
                  54              1.7136            0.989821             2.73785
                  55             1.74533            0.984808             2.70652
                  56             1.77706            0.978802             2.67536
                  57              1.8088            0.971812             2.64441
                  58             1.84053            0.963842             2.61369
                  59             1.87226            0.954902             2.58324
                  60               1.904            0.945001              2.5531
                  61             1.93573            0.934148             2.52328
                  62             1.96746            0.922354             2.49382
                  63              1.9992            0.909632             2.46475
                  64             2.03093            0.895994              2.4361
                  65             2.06266            0.881453             2.40789
                  66              2.0944            0.866025             2.38016
                  67             2.12613            0.849725             2.35294
                  68             2.15786             0.83257             2.32624
                  69             2.18959            0.814576             2.30011
                  70             2.22133            0.795762             2.27456
                  71             2.25306            0.776146             2.24961
                  72             2.28479             0.75575              2.2253
                  73             2.31653            0.734592             2.20166
                  74             2.34826            0.712694             2.17869
                  75             2.37999            0.690079             2.15643
                  76             2.41173            0.666769              2.1349
                  77             2.44346            0.642788             2.11412
                  78             2.47519            0.618159             2.09411
                  79             2.50693            0.592908             2.07489
                  80             2.53866             0.56706             2.05649
                  81             2.57039            0.540641             2.03891
                  82             2.60213            0.513677             2.02218
                  83             2.63386            0.486197             2.00632
                  84             2.66559            0.458227             1.99133
                  85             2.69733            0.429795             1.97724
                  86             2.72906            0.400931             1.96406
                  87             2.76079            0.371662              1.9518
                  88             2.79253             0.34202             1.94047
                  89             2.82426            0.312033             1.93009
                  90             2.85599            0.281733             1.92067
                  91             2.88773            0.251148             1.91222
                  92             2.91946            0.220311             1.90474
                  93             2.95119            0.189251             1.89824
                  94             2.98293            0.158001             1.89273
                  95             3.01466            0.126592             1.88821
                  96             3.04639            0.095056             1.88469
                  97             3.07813           0.0634239             1.88218
                  98             3.10986           0.0317279             1.88067
                  99             3.14159                   0             1.88016
