            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.37753
                   0                   0                   0             3.37753
                   1           0.0317333           0.0317279             3.37703
                   2           0.0634665           0.0634239             3.37552
                   3           0.0951998            0.095056               3.373
                   4            0.126933            0.126592             3.36949
                   5            0.158666            0.158001             3.36497
                   6              0.1904            0.189251             3.35946
                   7            0.222133            0.220311             3.35296
                   8            0.253866            0.251148             3.34548
                   9            0.285599            0.281733             3.33702
                  10            0.317333            0.312033              3.3276
                  11            0.349066             0.34202             3.31722
                  12            0.380799            0.371662              3.3059
                  13            0.412532            0.400931             3.29364
                  14            0.444266            0.429795             3.28046
                  15            0.475999            0.458227             3.26637
                  16            0.507732            0.486197             3.25138
                  17            0.539465            0.513677             3.23551
                  18            0.571199            0.540641             3.21879
                  19            0.602932             0.56706             3.20121
                  20            0.634665            0.592908              3.1828
                  21            0.666398            0.618159             3.16358
                  22            0.698132            0.642788             3.14358
                  23            0.729865            0.666769              3.1228
                  24            0.761598            0.690079             3.10127
                  25            0.793331            0.712694             3.07901
                  26            0.825065            0.734592             3.05604
                  27            0.856798             0.75575             3.03239
                  28            0.888531            0.776146             3.00808
                  29            0.920265            0.795762             2.98314
                  30            0.951998            0.814576             2.95759
                  31            0.983731             0.83257             2.93145
                  32             1.01546            0.849725             2.90476
                  33              1.0472            0.866025             2.87753
                  34             1.07893            0.881453              2.8498
                  35             1.11066            0.895994              2.8216
                  36              1.1424            0.909632             2.79295
                  37             1.17413            0.922354             2.76388
                  38             1.20586            0.934148             2.73442
                  39              1.2376            0.945001              2.7046
                  40             1.26933            0.954902             2.67445
                  41             1.30106            0.963842             2.64401
                  42              1.3328            0.971812             2.61329
                  43             1.36453            0.978802             2.58234
                  44             1.39626            0.984808             2.55118
                  45               1.428            0.989821             2.51985
                  46             1.45973            0.993838             2.48837
                  47             1.49146            0.996855             2.45678
                  48              1.5232            0.998867             2.42511
                  49             1.55493            0.999874              2.3934
                  50             1.58666            0.999874             2.36167
                  51              1.6184            0.998867             2.32995
                  52             1.65013            0.996855             2.29828
                  53             1.68186            0.993838             2.26669
                  54              1.7136            0.989821             2.23522
                  55             1.74533            0.984808             2.20388
                  56             1.77706            0.978802             2.17272
                  57              1.8088            0.971812             2.14177
                  58             1.84053            0.963842             2.11106
                  59             1.87226            0.954902             2.08061
                  60               1.904            0.945001             2.05046
                  61             1.93573            0.934148             2.02065
                  62             1.96746            0.922354             1.99119
                  63              1.9992            0.909632             1.96212
                  64             2.03093            0.895994             1.93346
                  65             2.06266            0.881453             1.90526
                  66              2.0944            0.866025             1.87753
                  67             2.12613            0.849725             1.85031
                  68             2.15786             0.83257             1.82361
                  69             2.18959            0.814576             1.79747
                  70             2.22133            0.795762             1.77192
                  71             2.25306            0.776146             1.74698
                  72             2.28479             0.75575             1.72267
                  73             2.31653            0.734592             1.69902
                  74             2.34826            0.712694             1.67606
                  75             2.37999            0.690079              1.6538
                  76             2.41173            0.666769             1.63227
                  77             2.44346            0.642788             1.61149
                  78             2.47519            0.618159             1.59148
                  79             2.50693            0.592908             1.57226
                  80             2.53866             0.56706             1.55386
                  81             2.57039            0.540641             1.53628
                  82             2.60213            0.513677             1.51955
                  83             2.63386            0.486197             1.50368
                  84             2.66559            0.458227              1.4887
                  85             2.69733            0.429795             1.47461
                  86             2.72906            0.400931             1.46142
                  87             2.76079            0.371662             1.44916
                  88             2.79253             0.34202             1.43784
                  89             2.82426            0.312033             1.42746
                  90             2.85599            0.281733             1.41804
                  91             2.88773            0.251148             1.40958
                  92             2.91946            0.220311              1.4021
                  93             2.95119            0.189251              1.3956
                  94             2.98293            0.158001             1.39009
                  95             3.01466            0.126592             1.38558
                  96             3.04639            0.095056             1.38206
                  97             3.07813           0.0634239             1.37954
                  98             3.10986           0.0317279             1.37804
                  99             3.14159                   0             1.37753
