            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.84998
                   0                   0                   0             3.84998
                   1           0.0317333           0.0317279             3.84947
                   2           0.0634665           0.0634239             3.84796
                   3           0.0951998            0.095056             3.84545
                   4            0.126933            0.126592             3.84193
                   5            0.158666            0.158001             3.83742
                   6              0.1904            0.189251             3.83191
                   7            0.222133            0.220311             3.82541
                   8            0.253866            0.251148             3.81793
                   9            0.285599            0.281733             3.80947
                  10            0.317333            0.312033             3.80005
                  11            0.349066             0.34202             3.78967
                  12            0.380799            0.371662             3.77835
                  13            0.412532            0.400931             3.76609
                  14            0.444266            0.429795              3.7529
                  15            0.475999            0.458227             3.73881
                  16            0.507732            0.486197             3.72383
                  17            0.539465            0.513677             3.70796
                  18            0.571199            0.540641             3.69123
                  19            0.602932             0.56706             3.67365
                  20            0.634665            0.592908             3.65525
                  21            0.666398            0.618159             3.63603
                  22            0.698132            0.642788             3.61602
                  23            0.729865            0.666769             3.59524
                  24            0.761598            0.690079             3.57371
                  25            0.793331            0.712694             3.55145
                  26            0.825065            0.734592             3.52849
                  27            0.856798             0.75575             3.50484
                  28            0.888531            0.776146             3.48053
                  29            0.920265            0.795762             3.45559
                  30            0.951998            0.814576             3.43003
                  31            0.983731             0.83257              3.4039
                  32             1.01546            0.849725              3.3772
                  33              1.0472            0.866025             3.34998
                  34             1.07893            0.881453             3.32225
                  35             1.11066            0.895994             3.29404
                  36              1.1424            0.909632             3.26539
                  37             1.17413            0.922354             3.23632
                  38             1.20586            0.934148             3.20686
                  39              1.2376            0.945001             3.17705
                  40             1.26933            0.954902              3.1469
                  41             1.30106            0.963842             3.11645
                  42              1.3328            0.971812             3.08574
                  43             1.36453            0.978802             3.05478
                  44             1.39626            0.984808             3.02363
                  45               1.428            0.989821             2.99229
                  46             1.45973            0.993838             2.96082
                  47             1.49146            0.996855             2.92923
                  48              1.5232            0.998867             2.89756
                  49             1.55493            0.999874             2.86584
                  50             1.58666            0.999874             2.83411
                  51              1.6184            0.998867              2.8024
                  52             1.65013            0.996855             2.77073
                  53             1.68186            0.993838             2.73914
                  54              1.7136            0.989821             2.70766
                  55             1.74533            0.984808             2.67633
                  56             1.77706            0.978802             2.64517
                  57              1.8088            0.971812             2.61422
                  58             1.84053            0.963842              2.5835
                  59             1.87226            0.954902             2.55306
                  60               1.904            0.945001             2.52291
                  61             1.93573            0.934148             2.49309
                  62             1.96746            0.922354             2.46363
                  63              1.9992            0.909632             2.43456
                  64             2.03093            0.895994             2.40591
                  65             2.06266            0.881453             2.37771
                  66              2.0944            0.866025             2.34998
                  67             2.12613            0.849725             2.32275
                  68             2.15786             0.83257             2.29606
                  69             2.18959            0.814576             2.26992
                  70             2.22133            0.795762             2.24437
                  71             2.25306            0.776146             2.21942
                  72             2.28479             0.75575             2.19512
                  73             2.31653            0.734592             2.17147
                  74             2.34826            0.712694              2.1485
                  75             2.37999            0.690079             2.12624
                  76             2.41173            0.666769             2.10471
                  77             2.44346            0.642788             2.08393
                  78             2.47519            0.618159             2.06392
                  79             2.50693            0.592908             2.04471
                  80             2.53866             0.56706              2.0263
                  81             2.57039            0.540641             2.00872
                  82             2.60213            0.513677             1.99199
                  83             2.63386            0.486197             1.97613
                  84             2.66559            0.458227             1.96114
                  85             2.69733            0.429795             1.94705
                  86             2.72906            0.400931             1.93387
                  87             2.76079            0.371662             1.92161
                  88             2.79253             0.34202             1.91028
                  89             2.82426            0.312033             1.89991
                  90             2.85599            0.281733             1.89048
                  91             2.88773            0.251148             1.88203
                  92             2.91946            0.220311             1.87455
                  93             2.95119            0.189251             1.86805
                  94             2.98293            0.158001             1.86254
                  95             3.01466            0.126592             1.85802
                  96             3.04639            0.095056             1.85451
                  97             3.07813           0.0634239             1.85199
                  98             3.10986           0.0317279             1.85048
                  99             3.14159                   0             1.84998
