            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.04739
                   0                   0                   0            -1.04739
                   1           0.0317333           0.0317279            -1.04789
                   2           0.0634665           0.0634239             -1.0494
                   3           0.0951998            0.095056            -1.05191
                   4            0.126933            0.126592            -1.05543
                   5            0.158666            0.158001            -1.05995
                   6              0.1904            0.189251            -1.06546
                   7            0.222133            0.220311            -1.07196
                   8            0.253866            0.251148            -1.07944
                   9            0.285599            0.281733            -1.08789
                  10            0.317333            0.312033            -1.09732
                  11            0.349066             0.34202            -1.10769
                  12            0.380799            0.371662            -1.11902
                  13            0.412532            0.400931            -1.13128
                  14            0.444266            0.429795            -1.14446
                  15            0.475999            0.458227            -1.15855
                  16            0.507732            0.486197            -1.17354
                  17            0.539465            0.513677             -1.1894
                  18            0.571199            0.540641            -1.20613
                  19            0.602932             0.56706            -1.22371
                  20            0.634665            0.592908            -1.24212
                  21            0.666398            0.618159            -1.26133
                  22            0.698132            0.642788            -1.28134
                  23            0.729865            0.666769            -1.30212
                  24            0.761598            0.690079            -1.32365
                  25            0.793331            0.712694            -1.34591
                  26            0.825065            0.734592            -1.36888
                  27            0.856798             0.75575            -1.39253
                  28            0.888531            0.776146            -1.41683
                  29            0.920265            0.795762            -1.44178
                  30            0.951998            0.814576            -1.46733
                  31            0.983731             0.83257            -1.49347
                  32             1.01546            0.849725            -1.52016
                  33              1.0472            0.866025            -1.54739
                  34             1.07893            0.881453            -1.57512
                  35             1.11066            0.895994            -1.60332
                  36              1.1424            0.909632            -1.63197
                  37             1.17413            0.922354            -1.66104
                  38             1.20586            0.934148             -1.6905
                  39              1.2376            0.945001            -1.72032
                  40             1.26933            0.954902            -1.75047
                  41             1.30106            0.963842            -1.78091
                  42              1.3328            0.971812            -1.81163
                  43             1.36453            0.978802            -1.84258
                  44             1.39626            0.984808            -1.87374
                  45               1.428            0.989821            -1.90507
                  46             1.45973            0.993838            -1.93655
                  47             1.49146            0.996855            -1.96814
                  48              1.5232            0.998867             -1.9998
                  49             1.55493            0.999874            -2.03152
                  50             1.58666            0.999874            -2.06325
                  51              1.6184            0.998867            -2.09497
                  52             1.65013            0.996855            -2.12664
                  53             1.68186            0.993838            -2.15822
                  54              1.7136            0.989821             -2.1897
                  55             1.74533            0.984808            -2.22103
                  56             1.77706            0.978802            -2.25219
                  57              1.8088            0.971812            -2.28315
                  58             1.84053            0.963842            -2.31386
                  59             1.87226            0.954902            -2.34431
                  60               1.904            0.945001            -2.37445
                  61             1.93573            0.934148            -2.40427
                  62             1.96746            0.922354            -2.43373
                  63              1.9992            0.909632             -2.4628
                  64             2.03093            0.895994            -2.49145
                  65             2.06266            0.881453            -2.51966
                  66              2.0944            0.866025            -2.54739
                  67             2.12613            0.849725            -2.57461
                  68             2.15786             0.83257            -2.60131
                  69             2.18959            0.814576            -2.62744
                  70             2.22133            0.795762              -2.653
                  71             2.25306            0.776146            -2.67794
                  72             2.28479             0.75575            -2.70225
                  73             2.31653            0.734592             -2.7259
                  74             2.34826            0.712694            -2.74886
                  75             2.37999            0.690079            -2.77112
                  76             2.41173            0.666769            -2.79265
                  77             2.44346            0.642788            -2.81343
                  78             2.47519            0.618159            -2.83344
                  79             2.50693            0.592908            -2.85266
                  80             2.53866             0.56706            -2.87106
                  81             2.57039            0.540641            -2.88864
                  82             2.60213            0.513677            -2.90537
                  83             2.63386            0.486197            -2.92124
                  84             2.66559            0.458227            -2.93622
                  85             2.69733            0.429795            -2.95031
                  86             2.72906            0.400931            -2.96349
                  87             2.76079            0.371662            -2.97575
                  88             2.79253             0.34202            -2.98708
                  89             2.82426            0.312033            -2.99746
                  90             2.85599            0.281733            -3.00688
                  91             2.88773            0.251148            -3.01534
                  92             2.91946            0.220311            -3.02282
                  93             2.95119            0.189251            -3.02931
                  94             2.98293            0.158001            -3.03483
                  95             3.01466            0.126592            -3.03934
                  96             3.04639            0.095056            -3.04286
                  97             3.07813           0.0634239            -3.04537
                  98             3.10986           0.0317279            -3.04688
                  99             3.14159                   0            -3.04739
