            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.46291
                   0                   0                   0             3.46291
                   1           0.0317333           0.0317279              3.4624
                   2           0.0634665           0.0634239             3.46089
                   3           0.0951998            0.095056             3.45838
                   4            0.126933            0.126592             3.45486
                   5            0.158666            0.158001             3.45035
                   6              0.1904            0.189251             3.44484
                   7            0.222133            0.220311             3.43834
                   8            0.253866            0.251148             3.43086
                   9            0.285599            0.281733              3.4224
                  10            0.317333            0.312033             3.41298
                  11            0.349066             0.34202              3.4026
                  12            0.380799            0.371662             3.39128
                  13            0.412532            0.400931             3.37902
                  14            0.444266            0.429795             3.36583
                  15            0.475999            0.458227             3.35174
                  16            0.507732            0.486197             3.33676
                  17            0.539465            0.513677             3.32089
                  18            0.571199            0.540641             3.30416
                  19            0.602932             0.56706             3.28658
                  20            0.634665            0.592908             3.26818
                  21            0.666398            0.618159             3.24896
                  22            0.698132            0.642788             3.22895
                  23            0.729865            0.666769             3.20817
                  24            0.761598            0.690079             3.18664
                  25            0.793331            0.712694             3.16438
                  26            0.825065            0.734592             3.14142
                  27            0.856798             0.75575             3.11777
                  28            0.888531            0.776146             3.09346
                  29            0.920265            0.795762             3.06852
                  30            0.951998            0.814576             3.04296
                  31            0.983731             0.83257             3.01683
                  32             1.01546            0.849725             2.99013
                  33              1.0472            0.866025             2.96291
                  34             1.07893            0.881453             2.93518
                  35             1.11066            0.895994             2.90697
                  36              1.1424            0.909632             2.87832
                  37             1.17413            0.922354             2.84925
                  38             1.20586            0.934148             2.81979
                  39              1.2376            0.945001             2.78998
                  40             1.26933            0.954902             2.75983
                  41             1.30106            0.963842             2.72938
                  42              1.3328            0.971812             2.69867
                  43             1.36453            0.978802             2.66771
                  44             1.39626            0.984808             2.63656
                  45               1.428            0.989821             2.60522
                  46             1.45973            0.993838             2.57375
                  47             1.49146            0.996855             2.54216
                  48              1.5232            0.998867             2.51049
                  49             1.55493            0.999874             2.47877
                  50             1.58666            0.999874             2.44704
                  51              1.6184            0.998867             2.41533
                  52             1.65013            0.996855             2.38366
                  53             1.68186            0.993838             2.35207
                  54              1.7136            0.989821             2.32059
                  55             1.74533            0.984808             2.28926
                  56             1.77706            0.978802              2.2581
                  57              1.8088            0.971812             2.22715
                  58             1.84053            0.963842             2.19643
                  59             1.87226            0.954902             2.16599
                  60               1.904            0.945001             2.13584
                  61             1.93573            0.934148             2.10602
                  62             1.96746            0.922354             2.07656
                  63              1.9992            0.909632             2.04749
                  64             2.03093            0.895994             2.01884
                  65             2.06266            0.881453             1.99064
                  66              2.0944            0.866025             1.96291
                  67             2.12613            0.849725             1.93568
                  68             2.15786             0.83257             1.90899
                  69             2.18959            0.814576             1.88285
                  70             2.22133            0.795762              1.8573
                  71             2.25306            0.776146             1.83236
                  72             2.28479             0.75575             1.80805
                  73             2.31653            0.734592              1.7844
                  74             2.34826            0.712694             1.76143
                  75             2.37999            0.690079             1.73917
                  76             2.41173            0.666769             1.71764
                  77             2.44346            0.642788             1.69686
                  78             2.47519            0.618159             1.67685
                  79             2.50693            0.592908             1.65764
                  80             2.53866             0.56706             1.63923
                  81             2.57039            0.540641             1.62165
                  82             2.60213            0.513677             1.60492
                  83             2.63386            0.486197             1.58906
                  84             2.66559            0.458227             1.57407
                  85             2.69733            0.429795             1.55998
                  86             2.72906            0.400931              1.5468
                  87             2.76079            0.371662             1.53454
                  88             2.79253             0.34202             1.52322
                  89             2.82426            0.312033             1.51284
                  90             2.85599            0.281733             1.50341
                  91             2.88773            0.251148             1.49496
                  92             2.91946            0.220311             1.48748
                  93             2.95119            0.189251             1.48098
                  94             2.98293            0.158001             1.47547
                  95             3.01466            0.126592             1.47095
                  96             3.04639            0.095056             1.46744
                  97             3.07813           0.0634239             1.46492
                  98             3.10986           0.0317279             1.46341
                  99             3.14159                   0             1.46291
