            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.40307
                   0                   0                   0             1.40307
                   1           0.0317333           0.0317279             1.40256
                   2           0.0634665           0.0634239             1.40105
                   3           0.0951998            0.095056             1.39854
                   4            0.126933            0.126592             1.39502
                   5            0.158666            0.158001              1.3905
                   6              0.1904            0.189251             1.38499
                   7            0.222133            0.220311              1.3785
                   8            0.253866            0.251148             1.37101
                   9            0.285599            0.281733             1.36256
                  10            0.317333            0.312033             1.35314
                  11            0.349066             0.34202             1.34276
                  12            0.380799            0.371662             1.33143
                  13            0.412532            0.400931             1.31917
                  14            0.444266            0.429795             1.30599
                  15            0.475999            0.458227              1.2919
                  16            0.507732            0.486197             1.27691
                  17            0.539465            0.513677             1.26105
                  18            0.571199            0.540641             1.24432
                  19            0.602932             0.56706             1.22674
                  20            0.634665            0.592908             1.20834
                  21            0.666398            0.618159             1.18912
                  22            0.698132            0.642788             1.16911
                  23            0.729865            0.666769             1.14833
                  24            0.761598            0.690079              1.1268
                  25            0.793331            0.712694             1.10454
                  26            0.825065            0.734592             1.08157
                  27            0.856798             0.75575             1.05793
                  28            0.888531            0.776146             1.03362
                  29            0.920265            0.795762             1.00867
                  30            0.951998            0.814576            0.983122
                  31            0.983731             0.83257            0.956985
                  32             1.01546            0.849725            0.930291
                  33              1.0472            0.866025            0.903065
                  34             1.07893            0.881453            0.875336
                  35             1.11066            0.895994            0.847132
                  36              1.1424            0.909632             0.81848
                  37             1.17413            0.922354             0.78941
                  38             1.20586            0.934148            0.759952
                  39              1.2376            0.945001            0.730133
                  40             1.26933            0.954902            0.699986
                  41             1.30106            0.963842            0.669539
                  42              1.3328            0.971812            0.638824
                  43             1.36453            0.978802            0.607872
                  44             1.39626            0.984808            0.576713
                  45               1.428            0.989821             0.54538
                  46             1.45973            0.993838            0.513903
                  47             1.49146            0.996855            0.482315
                  48              1.5232            0.998867            0.450647
                  49             1.55493            0.999874            0.418931
                  50             1.58666            0.999874            0.387199
                  51              1.6184            0.998867            0.355483
                  52             1.65013            0.996855            0.323815
                  53             1.68186            0.993838            0.292227
                  54              1.7136            0.989821             0.26075
                  55             1.74533            0.984808            0.229417
                  56             1.77706            0.978802            0.198259
                  57              1.8088            0.971812            0.167306
                  58             1.84053            0.963842            0.136591
                  59             1.87226            0.954902            0.106145
                  60               1.904            0.945001           0.0759973
                  61             1.93573            0.934148           0.0461791
                  62             1.96746            0.922354           0.0167202
                  63              1.9992            0.909632          -0.0123497
                  64             2.03093            0.895994          -0.0410013
                  65             2.06266            0.881453          -0.0692058
                  66              2.0944            0.866025          -0.0969347
                  67             2.12613            0.849725            -0.12416
                  68             2.15786             0.83257           -0.150855
                  69             2.18959            0.814576           -0.176992
                  70             2.22133            0.795762           -0.202544
                  71             2.25306            0.776146           -0.227487
                  72             2.28479             0.75575           -0.251795
                  73             2.31653            0.734592           -0.275444
                  74             2.34826            0.712694            -0.29841
                  75             2.37999            0.690079           -0.320669
                  76             2.41173            0.666769           -0.342199
                  77             2.44346            0.642788           -0.362979
                  78             2.47519            0.618159           -0.382988
                  79             2.50693            0.592908           -0.402205
                  80             2.53866             0.56706           -0.420611
                  81             2.57039            0.540641           -0.438188
                  82             2.60213            0.513677           -0.454918
                  83             2.63386            0.486197           -0.470784
                  84             2.66559            0.458227            -0.48577
                  85             2.69733            0.429795           -0.499861
                  86             2.72906            0.400931           -0.513043
                  87             2.76079            0.371662           -0.525303
                  88             2.79253             0.34202           -0.536627
                  89             2.82426            0.312033           -0.547006
                  90             2.85599            0.281733           -0.556428
                  91             2.88773            0.251148           -0.564883
                  92             2.91946            0.220311           -0.572364
                  93             2.95119            0.189251           -0.578863
                  94             2.98293            0.158001           -0.584374
                  95             3.01466            0.126592            -0.58889
                  96             3.04639            0.095056           -0.592407
                  97             3.07813           0.0634239           -0.594921
                  98             3.10986           0.0317279           -0.596431
                  99             3.14159                   0           -0.596935
