            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.90131
                   0                   0                   0             3.90131
                   1           0.0317333           0.0317279             3.90081
                   2           0.0634665           0.0634239              3.8993
                   3           0.0951998            0.095056             3.89678
                   4            0.126933            0.126592             3.89327
                   5            0.158666            0.158001             3.88875
                   6              0.1904            0.189251             3.88324
                   7            0.222133            0.220311             3.87674
                   8            0.253866            0.251148             3.86926
                   9            0.285599            0.281733              3.8608
                  10            0.317333            0.312033             3.85138
                  11            0.349066             0.34202               3.841
                  12            0.380799            0.371662             3.82968
                  13            0.412532            0.400931             3.81742
                  14            0.444266            0.429795             3.80424
                  15            0.475999            0.458227             3.79015
                  16            0.507732            0.486197             3.77516
                  17            0.539465            0.513677             3.75929
                  18            0.571199            0.540641             3.74256
                  19            0.602932             0.56706             3.72499
                  20            0.634665            0.592908             3.70658
                  21            0.666398            0.618159             3.68736
                  22            0.698132            0.642788             3.66736
                  23            0.729865            0.666769             3.64658
                  24            0.761598            0.690079             3.62505
                  25            0.793331            0.712694             3.60279
                  26            0.825065            0.734592             3.57982
                  27            0.856798             0.75575             3.55617
                  28            0.888531            0.776146             3.53186
                  29            0.920265            0.795762             3.50692
                  30            0.951998            0.814576             3.48137
                  31            0.983731             0.83257             3.45523
                  32             1.01546            0.849725             3.42854
                  33              1.0472            0.866025             3.40131
                  34             1.07893            0.881453             3.37358
                  35             1.11066            0.895994             3.34538
                  36              1.1424            0.909632             3.31673
                  37             1.17413            0.922354             3.28766
                  38             1.20586            0.934148              3.2582
                  39              1.2376            0.945001             3.22838
                  40             1.26933            0.954902             3.19823
                  41             1.30106            0.963842             3.16779
                  42              1.3328            0.971812             3.13707
                  43             1.36453            0.978802             3.10612
                  44             1.39626            0.984808             3.07496
                  45               1.428            0.989821             3.04363
                  46             1.45973            0.993838             3.01215
                  47             1.49146            0.996855             2.98056
                  48              1.5232            0.998867             2.94889
                  49             1.55493            0.999874             2.91718
                  50             1.58666            0.999874             2.88545
                  51              1.6184            0.998867             2.85373
                  52             1.65013            0.996855             2.82206
                  53             1.68186            0.993838             2.79047
                  54              1.7136            0.989821               2.759
                  55             1.74533            0.984808             2.72766
                  56             1.77706            0.978802              2.6965
                  57              1.8088            0.971812             2.66555
                  58             1.84053            0.963842             2.63484
                  59             1.87226            0.954902             2.60439
                  60               1.904            0.945001             2.57424
                  61             1.93573            0.934148             2.54443
                  62             1.96746            0.922354             2.51497
                  63              1.9992            0.909632              2.4859
                  64             2.03093            0.895994             2.45724
                  65             2.06266            0.881453             2.42904
                  66              2.0944            0.866025             2.40131
                  67             2.12613            0.849725             2.37409
                  68             2.15786             0.83257             2.34739
                  69             2.18959            0.814576             2.32125
                  70             2.22133            0.795762              2.2957
                  71             2.25306            0.776146             2.27076
                  72             2.28479             0.75575             2.24645
                  73             2.31653            0.734592              2.2228
                  74             2.34826            0.712694             2.19984
                  75             2.37999            0.690079             2.17758
                  76             2.41173            0.666769             2.15605
                  77             2.44346            0.642788             2.13527
                  78             2.47519            0.618159             2.11526
                  79             2.50693            0.592908             2.09604
                  80             2.53866             0.56706             2.07763
                  81             2.57039            0.540641             2.06006
                  82             2.60213            0.513677             2.04333
                  83             2.63386            0.486197             2.02746
                  84             2.66559            0.458227             2.01248
                  85             2.69733            0.429795             1.99838
                  86             2.72906            0.400931              1.9852
                  87             2.76079            0.371662             1.97294
                  88             2.79253             0.34202             1.96162
                  89             2.82426            0.312033             1.95124
                  90             2.85599            0.281733             1.94182
                  91             2.88773            0.251148             1.93336
                  92             2.91946            0.220311             1.92588
                  93             2.95119            0.189251             1.91938
                  94             2.98293            0.158001             1.91387
                  95             3.01466            0.126592             1.90936
                  96             3.04639            0.095056             1.90584
                  97             3.07813           0.0634239             1.90332
                  98             3.10986           0.0317279             1.90181
                  99             3.14159                   0             1.90131
