            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.31367
                   0                   0                   0            -2.31367
                   1           0.0317333           0.0317279            -2.31417
                   2           0.0634665           0.0634239            -2.31568
                   3           0.0951998            0.095056             -2.3182
                   4            0.126933            0.126592            -2.32171
                   5            0.158666            0.158001            -2.32623
                   6              0.1904            0.189251            -2.33174
                   7            0.222133            0.220311            -2.33824
                   8            0.253866            0.251148            -2.34572
                   9            0.285599            0.281733            -2.35418
                  10            0.317333            0.312033             -2.3636
                  11            0.349066             0.34202            -2.37398
                  12            0.380799            0.371662             -2.3853
                  13            0.412532            0.400931            -2.39756
                  14            0.444266            0.429795            -2.41074
                  15            0.475999            0.458227            -2.42483
                  16            0.507732            0.486197            -2.43982
                  17            0.539465            0.513677            -2.45569
                  18            0.571199            0.540641            -2.47242
                  19            0.602932             0.56706            -2.48999
                  20            0.634665            0.592908             -2.5084
                  21            0.666398            0.618159            -2.52762
                  22            0.698132            0.642788            -2.54762
                  23            0.729865            0.666769             -2.5684
                  24            0.761598            0.690079            -2.58993
                  25            0.793331            0.712694            -2.61219
                  26            0.825065            0.734592            -2.63516
                  27            0.856798             0.75575            -2.65881
                  28            0.888531            0.776146            -2.68312
                  29            0.920265            0.795762            -2.70806
                  30            0.951998            0.814576            -2.73361
                  31            0.983731             0.83257            -2.75975
                  32             1.01546            0.849725            -2.78644
                  33              1.0472            0.866025            -2.81367
                  34             1.07893            0.881453             -2.8414
                  35             1.11066            0.895994             -2.8696
                  36              1.1424            0.909632            -2.89825
                  37             1.17413            0.922354            -2.92732
                  38             1.20586            0.934148            -2.95678
                  39              1.2376            0.945001             -2.9866
                  40             1.26933            0.954902            -3.01675
                  41             1.30106            0.963842            -3.04719
                  42              1.3328            0.971812            -3.07791
                  43             1.36453            0.978802            -3.10886
                  44             1.39626            0.984808            -3.14002
                  45               1.428            0.989821            -3.17135
                  46             1.45973            0.993838            -3.20283
                  47             1.49146            0.996855            -3.23442
                  48              1.5232            0.998867            -3.26609
                  49             1.55493            0.999874             -3.2978
                  50             1.58666            0.999874            -3.32953
                  51              1.6184            0.998867            -3.36125
                  52             1.65013            0.996855            -3.39292
                  53             1.68186            0.993838            -3.42451
                  54              1.7136            0.989821            -3.45598
                  55             1.74533            0.984808            -3.48732
                  56             1.77706            0.978802            -3.51848
                  57              1.8088            0.971812            -3.54943
                  58             1.84053            0.963842            -3.58014
                  59             1.87226            0.954902            -3.61059
                  60               1.904            0.945001            -3.64074
                  61             1.93573            0.934148            -3.67055
                  62             1.96746            0.922354            -3.70001
                  63              1.9992            0.909632            -3.72908
                  64             2.03093            0.895994            -3.75774
                  65             2.06266            0.881453            -3.78594
                  66              2.0944            0.866025            -3.81367
                  67             2.12613            0.849725            -3.84089
                  68             2.15786             0.83257            -3.86759
                  69             2.18959            0.814576            -3.89373
                  70             2.22133            0.795762            -3.91928
                  71             2.25306            0.776146            -3.94422
                  72             2.28479             0.75575            -3.96853
                  73             2.31653            0.734592            -3.99218
                  74             2.34826            0.712694            -4.01514
                  75             2.37999            0.690079             -4.0374
                  76             2.41173            0.666769            -4.05893
                  77             2.44346            0.642788            -4.07971
                  78             2.47519            0.618159            -4.09972
                  79             2.50693            0.592908            -4.11894
                  80             2.53866             0.56706            -4.13735
                  81             2.57039            0.540641            -4.15492
                  82             2.60213            0.513677            -4.17165
                  83             2.63386            0.486197            -4.18752
                  84             2.66559            0.458227             -4.2025
                  85             2.69733            0.429795             -4.2166
                  86             2.72906            0.400931            -4.22978
                  87             2.76079            0.371662            -4.24204
                  88             2.79253             0.34202            -4.25336
                  89             2.82426            0.312033            -4.26374
                  90             2.85599            0.281733            -4.27316
                  91             2.88773            0.251148            -4.28162
                  92             2.91946            0.220311             -4.2891
                  93             2.95119            0.189251             -4.2956
                  94             2.98293            0.158001            -4.30111
                  95             3.01466            0.126592            -4.30562
                  96             3.04639            0.095056            -4.30914
                  97             3.07813           0.0634239            -4.31166
                  98             3.10986           0.0317279            -4.31317
                  99             3.14159                   0            -4.31367
