            Interval               Theta              Radial            Vertical
                   0                   0                   0            0.154523
                   0                   0                   0            0.154523
                   1           0.0317333           0.0317279             0.15402
                   2           0.0634665           0.0634239             0.15251
                   3           0.0951998            0.095056            0.149995
                   4            0.126933            0.126592            0.146478
                   5            0.158666            0.158001            0.141962
                   6              0.1904            0.189251            0.136452
                   7            0.222133            0.220311            0.129953
                   8            0.253866            0.251148            0.122472
                   9            0.285599            0.281733            0.114016
                  10            0.317333            0.312033            0.104594
                  11            0.349066             0.34202           0.0942158
                  12            0.380799            0.371662           0.0828911
                  13            0.412532            0.400931           0.0706316
                  14            0.444266            0.429795           0.0574497
                  15            0.475999            0.458227           0.0433586
                  16            0.507732            0.486197           0.0283725
                  17            0.539465            0.513677           0.0125066
                  18            0.571199            0.540641          -0.0042233
                  19            0.602932             0.56706          -0.0218003
                  20            0.634665            0.592908          -0.0402066
                  21            0.666398            0.618159          -0.0594237
                  22            0.698132            0.642788          -0.0794324
                  23            0.729865            0.666769           -0.100212
                  24            0.761598            0.690079           -0.121743
                  25            0.793331            0.712694           -0.144002
                  26            0.825065            0.734592           -0.166967
                  27            0.856798             0.75575           -0.190616
                  28            0.888531            0.776146           -0.214924
                  29            0.920265            0.795762           -0.239867
                  30            0.951998            0.814576            -0.26542
                  31            0.983731             0.83257           -0.291557
                  32             1.01546            0.849725           -0.318251
                  33              1.0472            0.866025           -0.345477
                  34             1.07893            0.881453           -0.373206
                  35             1.11066            0.895994            -0.40141
                  36              1.1424            0.909632           -0.430062
                  37             1.17413            0.922354           -0.459132
                  38             1.20586            0.934148           -0.488591
                  39              1.2376            0.945001           -0.518409
                  40             1.26933            0.954902           -0.548556
                  41             1.30106            0.963842           -0.579003
                  42              1.3328            0.971812           -0.609718
                  43             1.36453            0.978802            -0.64067
                  44             1.39626            0.984808           -0.671829
                  45               1.428            0.989821           -0.703162
                  46             1.45973            0.993838           -0.734639
                  47             1.49146            0.996855           -0.766227
                  48              1.5232            0.998867           -0.797895
                  49             1.55493            0.999874           -0.829611
                  50             1.58666            0.999874           -0.861343
                  51              1.6184            0.998867           -0.893059
                  52             1.65013            0.996855           -0.924727
                  53             1.68186            0.993838           -0.956315
                  54              1.7136            0.989821           -0.987792
                  55             1.74533            0.984808            -1.01913
                  56             1.77706            0.978802            -1.05028
                  57              1.8088            0.971812            -1.08124
                  58             1.84053            0.963842            -1.11195
                  59             1.87226            0.954902             -1.1424
                  60               1.904            0.945001            -1.17254
                  61             1.93573            0.934148            -1.20236
                  62             1.96746            0.922354            -1.23182
                  63              1.9992            0.909632            -1.26089
                  64             2.03093            0.895994            -1.28954
                  65             2.06266            0.881453            -1.31775
                  66              2.0944            0.866025            -1.34548
                  67             2.12613            0.849725             -1.3727
                  68             2.15786             0.83257             -1.3994
                  69             2.18959            0.814576            -1.42553
                  70             2.22133            0.795762            -1.45109
                  71             2.25306            0.776146            -1.47603
                  72             2.28479             0.75575            -1.50034
                  73             2.31653            0.734592            -1.52399
                  74             2.34826            0.712694            -1.54695
                  75             2.37999            0.690079            -1.56921
                  76             2.41173            0.666769            -1.59074
                  77             2.44346            0.642788            -1.61152
                  78             2.47519            0.618159            -1.63153
                  79             2.50693            0.592908            -1.65075
                  80             2.53866             0.56706            -1.66915
                  81             2.57039            0.540641            -1.68673
                  82             2.60213            0.513677            -1.70346
                  83             2.63386            0.486197            -1.71933
                  84             2.66559            0.458227            -1.73431
                  85             2.69733            0.429795             -1.7484
                  86             2.72906            0.400931            -1.76159
                  87             2.76079            0.371662            -1.77384
                  88             2.79253             0.34202            -1.78517
                  89             2.82426            0.312033            -1.79555
                  90             2.85599            0.281733            -1.80497
                  91             2.88773            0.251148            -1.81343
                  92             2.91946            0.220311            -1.82091
                  93             2.95119            0.189251            -1.82741
                  94             2.98293            0.158001            -1.83292
                  95             3.01466            0.126592            -1.83743
                  96             3.04639            0.095056            -1.84095
                  97             3.07813           0.0634239            -1.84346
                  98             3.10986           0.0317279            -1.84497
                  99             3.14159                   0            -1.84548
